timestamp_ms,pupilDiameter_px_L_M,pupilUndistortedDiameter_px_L_M,pupilPhysicalDiameter_mm_L_M,pupilWidth_px_L_M,pupilHeight_px_L_M,pupilAxisRatio_L_M,pupilCenterX_px_L_M,pupilCenterY_px_L_M,pupilAngle_deg_L_M,pupilCircumference_px_L_M,pupilConfidence_L_M,pupilOutlineConfidence_L_M,BRISQUEFullImage_L_M,BRISQUEPDROI_L_M,trial,message,cameraTemperature_c_M,cameraTemperature_c_S
1766048553540,41.8825,-1,-1,41.814,41.8825,1.00164,196.898,93.6334,66.3541,131.47,0.944444,0.944444,-1,-1,1,,-1,-1
1766048553565,42.6311,-1,-1,40.6835,42.6311,1.04787,196.842,93.5691,53.2137,130.888,0.942857,0.942857,-1,-1,1,,-1,-1
1766048553590,42.7054,-1,-1,40.7477,42.7054,1.04804,196.752,93.4962,53.2189,131.106,0.942857,0.942857,-1,-1,1,,-1,-1
1766048553615,42.1345,-1,-1,40.6403,42.1345,1.03677,196.835,93.2422,67.0459,130.033,0.944444,0.944444,-1,-1,1,,-1,-1
1766048553640,43.0881,-1,-1,40.0807,43.0881,1.07503,196.346,93.0312,83.2548,130.684,0.944444,0.944444,-1,-1,1,,-1,-1
1766048553665,42.2308,-1,-1,41.7803,42.2308,1.01078,196.993,93.8224,11.0112,131.965,0.939394,0.939394,-1,-1,1,,-1,-1
1766048553690,42.5522,-1,-1,40.3949,42.5522,1.05341,196.956,93.139,61.7678,130.315,0.941176,0.941176,-1,-1,1,,-1,-1
1766048553715,42.1996,-1,-1,40.6247,42.1996,1.03877,196.959,93.3489,71.7058,130.112,0.941176,0.941176,-1,-1,1,,-1,-1
1766048553740,42.3031,-1,-1,40.1727,42.3031,1.05303,196.923,93.1805,72.2836,129.574,0.942857,0.942857,-1,-1,1,,-1,-1
1766048553765,42.3174,-1,-1,40.4737,42.3174,1.04555,196.877,93.3762,64.0782,130.064,0.916667,0.916667,-1,-1,1,,-1,-1
1766048553790,42.1209,-1,-1,40.4191,42.1209,1.04211,196.79,93.3568,79.2064,129.667,0.939394,0.939394,-1,-1,1,,-1,-1
1766048553815,42.2725,-1,-1,40.5357,42.2725,1.04285,197.001,93.3633,66.2818,130.089,0.916667,0.916667,-1,-1,1,,-1,-1
1766048553840,42.5047,-1,-1,40.4455,42.5047,1.05091,196.879,93.3934,68.7065,130.318,0.942857,0.942857,-1,-1,1,,-1,-1
