timestamp_ms,pupilDiameter_px_L_M,pupilUndistortedDiameter_px_L_M,pupilPhysicalDiameter_mm_L_M,pupilWidth_px_L_M,pupilHeight_px_L_M,pupilAxisRatio_L_M,pupilCenterX_px_L_M,pupilCenterY_px_L_M,pupilAngle_deg_L_M,pupilCircumference_px_L_M,pupilConfidence_L_M,pupilOutlineConfidence_L_M,BRISQUEFullImage_L_M,BRISQUEPDROI_L_M,trial,message,cameraTemperature_c_M,cameraTemperature_c_S
1766053424854,50.636,-1,-1,48.8936,50.636,1.03564,152.899,79.6702,106.975,156.353,0.944444,0.944444,-1,-1,1,,-1,-1
1766053424879,50.7546,-1,-1,48.8883,50.7546,1.03817,152.751,79.8282,107.205,156.532,0.944444,0.944444,-1,-1,1,,-1,-1
1766053424904,50.9023,-1,-1,48.866,50.9023,1.04167,152.722,80.1814,103.267,156.732,0.944444,0.944444,-1,-1,1,,-1,-1
1766053424929,50.9231,-1,-1,49.0596,50.9231,1.03798,153.003,79.7506,112.787,157.066,0.944444,0.944444,-1,-1,1,,-1,-1
1766053424953,51.0735,-1,-1,49.0967,51.0735,1.04026,153.275,78.8556,104.305,157.362,0.944444,0.944444,-1,-1,1,,-1,-1
1766053424978,51.1597,-1,-1,49.393,51.1597,1.03577,153.257,78.0078,114.471,157.96,0.944444,0.944444,-1,-1,1,,-1,-1
1766053425003,51.1264,-1,-1,49.2124,51.1264,1.03889,152.841,77.465,114.631,157.626,0.944444,0.944444,-1,-1,1,,-1,-1
1766053425028,51.191,-1,-1,49.2308,51.191,1.03982,152.597,77.5993,106.95,157.757,0.944444,0.944444,-1,-1,1,,-1,-1
1766053425053,51.237,-1,-1,49.0531,51.237,1.04452,152.765,78.0666,109.749,157.554,0.941176,0.941176,-1,-1,1,,-1,-1
1766053425078,51.1609,-1,-1,49.3213,51.1609,1.0373,153.123,78.1897,108.995,157.85,0.942857,0.942857,-1,-1,1,,-1,-1
1766053425103,51.3245,-1,-1,49.372,51.3245,1.03955,153.161,78.1903,109.867,158.189,0.941176,0.941176,-1,-1,1,,-1,-1
1766053425128,51.2926,-1,-1,49.4192,51.2926,1.03791,153.115,78.201,114.856,158.211,0.944444,0.944444,-1,-1,1,,-1,-1
1766053425153,51.1974,-1,-1,49.3846,51.1974,1.03671,153.218,78.6754,103.523,158.007,0.944444,0.944444,-1,-1,1,,-1,-1
1766053425178,51.2368,-1,-1,49.2504,51.2368,1.04033,153.575,78.8502,109.699,157.86,0.939394,0.939394,-1,-1,1,,-1,-1
1766053425203,51.0776,-1,-1,49.0996,51.0776,1.04029,153.502,78.7544,108.9,157.373,0.942857,0.942857,-1,-1,1,,-1,-1
1766053425228,51.2677,-1,-1,48.9638,51.2677,1.04705,153.364,78.0983,109.25,157.464,0.939394,0.939394,-1,-1,1,,-1,-1
1766053425253,50.9633,-1,-1,48.9395,50.9633,1.04135,153.498,77.7915,107.389,156.943,0.944444,0.944444,-1,-1,1,,-1,-1
1766053425278,50.8605,-1,-1,48.8681,50.8605,1.04077,153.983,78.0254,109.749,156.669,0.941176,0.941176,-1,-1,1,,-1,-1
1766053425303,50.7133,-1,-1,48.8119,50.7133,1.03895,154.19,78.6264,115.479,156.348,0.944444,0.944444,-1,-1,1,,-1,-1
1766053425328,50.6578,-1,-1,48.8222,50.6578,1.0376,154.015,78.3432,114.35,156.276,0.944444,0.944444,-1,-1,1,,-1,-1
1766053425353,50.8228,-1,-1,48.6566,50.8228,1.04452,153.324,78.2148,72.4806,156.28,0.771429,0.771429,-1,-1,1,,-1,-1
1766053425378,15.004,-1,-1,3.49058,15.004,4.29841,226.144,119.218,59.4989,31.9375,0,0,-1,-1,1,,-1,-1
1766053425403,17.4357,-1,-1,10.6471,17.4357,1.63761,97.3828,114.886,142.982,44.7591,0.205882,0.205882,-1,-1,1,,-1,-1
1766053425428,17.9991,-1,-1,9.71832,17.9991,1.85208,112.229,111.764,166.192,44.5154,0.575758,0.575758,-1,-1,1,,-1,-1
1766053425453,21.4947,-1,-1,17.4539,21.4947,1.23151,138.879,135.654,18.3172,61.3451,0.0882353,0.0882353,-1,-1,1,,-1,-1
1766053425478,52.4003,-1,-1,31.2964,52.4003,1.67432,105.759,69.8721,157.49,133.569,0.75,0.722222,-1,-1,1,,-1,-1
1766053425503,66.1609,-1,-1,54.1415,66.1609,1.222,154.609,67.6823,7.41804,189.442,0.914286,0.914286,-1,-1,1,,-1,-1
1766053425528,49.8046,-1,-1,48.7086,49.8046,1.0225,153.831,76.5009,92.1115,154.749,0.828571,0.828571,-1,-1,1,,-1,-1
1766053425553,49.9586,-1,-1,48.7524,49.9586,1.02474,153.476,76.7741,122.557,155.061,0.942857,0.942857,-1,-1,1,,-1,-1
1766053425578,50.1405,-1,-1,47.5057,50.1405,1.05546,153.103,77.7824,99.0946,153.41,0.941176,0.941176,-1,-1,1,,-1,-1
1766053425602,50.2153,-1,-1,47.8723,50.2153,1.04894,153.057,77.8828,106.43,154.098,0.944444,0.944444,-1,-1,1,,-1,-1
1766053425627,50.3244,-1,-1,47.2055,50.3244,1.06607,153.113,78.4313,98.2594,153.239,0.942857,0.942857,-1,-1,1,,-1,-1
1766053425652,22.1076,-1,-1,5.40826,22.1076,4.08775,170.445,130.825,114.724,47.2979,0,0,-1,-1,1,,-1,-1
