timestamp_ms,pupilDiameter_px_L_M,pupilUndistortedDiameter_px_L_M,pupilPhysicalDiameter_mm_L_M,pupilWidth_px_L_M,pupilHeight_px_L_M,pupilAxisRatio_L_M,pupilCenterX_px_L_M,pupilCenterY_px_L_M,pupilAngle_deg_L_M,pupilCircumference_px_L_M,pupilConfidence_L_M,pupilOutlineConfidence_L_M,BRISQUEFullImage_L_M,BRISQUEPDROI_L_M,trial,message,cameraTemperature_c_M,cameraTemperature_c_S
1765988081229,49.3963,-1,-1,45.8926,49.3963,1.07635,208.371,114.642,109.712,149.73,1,1,-1,-1,1,,-1,-1
1765988081254,50.5222,-1,-1,45.9182,50.5222,1.10027,206.351,114.789,98.7568,151.574,1,1,-1,-1,1,,-1,-1
1765988081279,49.4826,-1,-1,45.8977,49.4826,1.07811,206.09,114.488,103.918,149.876,1,1,-1,-1,1,,-1,-1
1765988081304,49.5404,-1,-1,45.9776,49.5404,1.07749,206.075,114.335,104.952,150.091,1,1,-1,-1,1,,-1,-1
1765988081329,49.4401,-1,-1,45.9546,49.4401,1.07585,206.007,114.246,102.346,149.896,1,1,-1,-1,1,,-1,-1
1765988081354,49.4753,-1,-1,46.073,49.4753,1.07385,206.1,114.301,102.649,150.134,1,1,-1,-1,1,,-1,-1
1765988081379,49.3124,-1,-1,45.8903,49.3124,1.07457,206.229,114.322,104.917,149.592,1,1,-1,-1,1,,-1,-1
1765988081404,49.5392,-1,-1,45.7191,49.5392,1.08356,206.14,114.408,103.995,149.692,1,1,-1,-1,1,,-1,-1
1765988081429,49.4179,-1,-1,45.8398,49.4179,1.07806,206.033,114.464,104.124,149.683,1,1,-1,-1,1,,-1,-1
1765988081454,49.5425,-1,-1,45.7222,49.5425,1.08356,206.131,114.434,103.779,149.702,1,1,-1,-1,1,,-1,-1
1765988081479,49.4237,-1,-1,45.6934,49.4237,1.08164,206.314,114.588,101.842,149.467,1,1,-1,-1,1,,-1,-1
1765988081504,49.4402,-1,-1,45.7192,49.4402,1.08139,206.314,114.549,101.276,149.533,1,1,-1,-1,1,,-1,-1
1765988081529,49.656,-1,-1,46.326,49.656,1.07188,206.032,114.792,90.9158,150.813,1,1,-1,-1,1,,-1,-1
1765988081554,49.3979,-1,-1,45.822,49.3979,1.07804,206.043,114.429,101.816,149.624,1,1,-1,-1,1,,-1,-1
1765988081579,49.5507,-1,-1,45.7583,49.5507,1.08288,206.065,114.447,102.317,149.77,1,1,-1,-1,1,,-1,-1
1765988081604,49.2496,-1,-1,45.8244,49.2496,1.07475,206.269,114.447,102.737,149.39,1,1,-1,-1,1,,-1,-1
1765988081629,49.4718,-1,-1,46.0555,49.4718,1.07418,206.196,114.725,97.3423,150.102,1,1,-1,-1,1,,-1,-1
1765988081654,49.4212,-1,-1,45.6215,49.4212,1.08329,206.225,114.713,102.207,149.352,1,1,-1,-1,1,,-1,-1
1765988081679,49.3899,-1,-1,45.1651,49.3899,1.09354,206.27,114.981,104.78,148.601,1,1,-1,-1,1,,-1,-1
1765988081704,49.4992,-1,-1,45.4211,49.4992,1.08979,206.128,115.062,101.77,149.169,1,1,-1,-1,1,,-1,-1
1765988081729,49.801,-1,-1,45.5556,49.801,1.09319,206.147,115.45,100.771,149.86,1,1,-1,-1,1,,-1,-1
1765988081754,49.6275,-1,-1,45.6614,49.6275,1.08686,205.984,115.481,98.7569,149.744,1,1,-1,-1,1,,-1,-1
1765988081778,49.7337,-1,-1,45.5046,49.7337,1.09294,206.051,115.461,99.4998,149.674,1,1,-1,-1,1,,-1,-1
1765988081803,49.5782,-1,-1,45.3881,49.5782,1.09232,206.054,115.397,100.301,149.245,1,1,-1,-1,1,,-1,-1
1765988081828,49.5822,-1,-1,45.4191,49.5822,1.09166,206.118,115.562,100.052,149.299,1,1,-1,-1,1,,-1,-1
1765988081853,49.4671,-1,-1,44.7276,49.4671,1.10596,207.572,115.389,105.072,148.054,0.972222,0.972222,-1,-1,1,,-1,-1
1765988081878,49.5867,-1,-1,44.8597,49.5867,1.10537,208.647,114.578,105.708,148.449,0.972222,0.972222,-1,-1,1,,-1,-1
1765988081903,49.4082,-1,-1,44.4693,49.4082,1.11106,208.595,114.299,105.369,147.564,0.944444,0.944444,-1,-1,1,,-1,-1
