timestamp_ms,pupilDiameter_px_L_M,pupilUndistortedDiameter_px_L_M,pupilPhysicalDiameter_mm_L_M,pupilWidth_px_L_M,pupilHeight_px_L_M,pupilAxisRatio_L_M,pupilCenterX_px_L_M,pupilCenterY_px_L_M,pupilAngle_deg_L_M,pupilCircumference_px_L_M,pupilConfidence_L_M,pupilOutlineConfidence_L_M,BRISQUEFullImage_L_M,BRISQUEPDROI_L_M,trial,message,cameraTemperature_c_M,cameraTemperature_c_S
1766057310021,44.6632,-1,-1,41.8407,44.6632,1.06746,196.138,102.834,91.5056,135.916,0.911765,0.911765,-1,-1,1,,-1,-1
1766057310046,44.9764,-1,-1,42.2368,44.9764,1.06486,196.068,103.181,74.9967,137.028,0.916667,0.916667,-1,-1,1,,-1,-1
1766057310071,44.9053,-1,-1,41.5983,44.9053,1.0795,196.416,103.181,93.0172,135.929,0.916667,0.916667,-1,-1,1,,-1,-1
1766057310096,45.2638,-1,-1,41.8986,45.2638,1.08032,196.45,103.711,93.0986,136.965,0.916667,0.916667,-1,-1,1,,-1,-1
1766057310121,44.9725,-1,-1,42.1309,44.9725,1.06745,196.743,104.152,92.6833,136.858,0.914286,0.914286,-1,-1,1,,-1,-1
1766057310146,45.5515,-1,-1,42.5401,45.5515,1.07079,196.862,104.401,82.9739,138.414,0.914286,0.914286,-1,-1,1,,-1,-1
1766057310171,45.8802,-1,-1,42.8633,45.8802,1.07039,196.711,104.576,76.3973,139.438,0.888889,0.888889,-1,-1,1,,-1,-1
1766057310196,45.7801,-1,-1,43.0263,45.7801,1.064,196.875,104.604,78.0235,139.53,0.914286,0.914286,-1,-1,1,,-1,-1
1766057310221,46.0732,-1,-1,42.8277,46.0732,1.07578,196.766,105.028,83.5101,139.692,0.916667,0.916667,-1,-1,1,,-1,-1
1766057310246,45.9993,-1,-1,42.8616,45.9993,1.07321,196.792,105.199,87.6663,139.626,0.916667,0.916667,-1,-1,1,,-1,-1
1766057310271,46.1153,-1,-1,42.8798,46.1153,1.07545,196.735,105.101,86.3659,139.839,0.944444,0.944444,-1,-1,1,,-1,-1
1766057310296,45.9788,-1,-1,43.0202,45.9788,1.06877,197.001,105.123,86.012,139.838,0.944444,0.944444,-1,-1,1,,-1,-1
1766057310321,46.528,-1,-1,42.7828,46.528,1.08754,196.933,105.103,77.2049,140.351,0.916667,0.916667,-1,-1,1,,-1,-1
1766057310346,46.5588,-1,-1,42.7502,46.5588,1.08909,197.225,104.908,85.5975,140.35,0.944444,0.944444,-1,-1,1,,-1,-1
1766057310371,46.1992,-1,-1,42.8537,46.1992,1.07807,197.067,104.917,83.0032,139.933,0.916667,0.916667,-1,-1,1,,-1,-1
1766057310396,46.1954,-1,-1,43.2976,46.1954,1.06693,197.177,104.941,75.16,140.612,0.944444,0.944444,-1,-1,1,,-1,-1
1766057310421,45.9889,-1,-1,43.0183,45.9889,1.06906,197.475,104.887,82.5886,139.851,0.914286,0.914286,-1,-1,1,,-1,-1
1766057310445,46.3496,-1,-1,42.0601,46.3496,1.10198,195.554,104.642,84.0439,138.955,0.944444,0.944444,-1,-1,1,,-1,-1
1766057310470,46.407,-1,-1,43.2477,46.407,1.07305,195.856,105.373,80.0528,140.873,0.909091,0.909091,-1,-1,1,,-1,-1
1766057310495,46.4985,-1,-1,42.8602,46.4985,1.08489,195.96,105.702,83.2585,140.422,0.944444,0.944444,-1,-1,1,,-1,-1
1766057310520,46.3687,-1,-1,43.2194,46.3687,1.07287,196.106,106.073,79.7755,140.768,0.911765,0.911765,-1,-1,1,,-1,-1
1766057310545,46.5951,-1,-1,43.0552,46.5951,1.08222,195.942,106.511,79.8658,140.877,0.909091,0.909091,-1,-1,1,,-1,-1
1766057310570,46.3305,-1,-1,43.2288,46.3305,1.07175,195.838,106.96,81.2636,140.722,0.909091,0.909091,-1,-1,1,,-1,-1
1766057310595,46.2593,-1,-1,43.4327,46.2593,1.06508,195.952,106.993,79.6712,140.923,0.911765,0.911765,-1,-1,1,,-1,-1
1766057310620,46.2165,-1,-1,43.1432,46.2165,1.07124,195.885,106.975,84.529,140.407,0.944444,0.944444,-1,-1,1,,-1,-1
