timestamp_ms,pupilDiameter_px_L_M,pupilUndistortedDiameter_px_L_M,pupilPhysicalDiameter_mm_L_M,pupilWidth_px_L_M,pupilHeight_px_L_M,pupilAxisRatio_L_M,pupilCenterX_px_L_M,pupilCenterY_px_L_M,pupilAngle_deg_L_M,pupilCircumference_px_L_M,pupilConfidence_L_M,pupilOutlineConfidence_L_M,BRISQUEFullImage_L_M,BRISQUEPDROI_L_M,trial,message,cameraTemperature_c_M,cameraTemperature_c_S
1766050037367,18.5585,-1,-1,12.2912,18.5585,1.5099,99.6041,68.2594,48.3523,48.96,0.382353,0.382353,-1,-1,1,,-1,-1
1766050037392,27.0261,-1,-1,15.4084,27.0261,1.75398,140.641,125.397,49.5777,67.9109,0.205882,0.205882,-1,-1,1,,-1,-1
1766050037417,17.3738,-1,-1,4.99679,17.3738,3.477,120.69,28.8101,100.672,37.8824,0,0,-1,-1,1,,-1,-1
1766050037442,-1,-1,-1,-1,-1,1,92,27,-1,-1,-1,-1,-1,-1,1,,-1,-1
1766050037467,45.6481,-1,-1,42.7258,45.6481,1.0684,170.935,77.806,0.0558247,138.855,0.8125,0.8125,-1,-1,1,,-1,-1
1766050037492,42.8498,-1,-1,39.5829,42.8498,1.08253,169.344,79.6726,147.685,129.536,1,1,-1,-1,1,,-1,-1
1766050037517,44.1097,-1,-1,43.0405,44.1097,1.02484,170.64,78.7031,0.469938,136.9,1,1,-1,-1,1,,-1,-1
1766050037542,44.0996,-1,-1,43.4038,44.0996,1.01603,170.879,78.7487,171.655,137.452,0.939394,0.939394,-1,-1,1,,-1,-1
1766050037567,44.3389,-1,-1,43.5587,44.3389,1.01791,170.98,79.1754,159.005,138.072,0.969697,0.969697,-1,-1,1,,-1,-1
1766050037592,44.5704,-1,-1,43.708,44.5704,1.01973,171.081,79.3135,175.928,138.671,1,1,-1,-1,1,,-1,-1
1766050037617,44.8325,-1,-1,43.6623,44.8325,1.0268,171.316,79.3719,165.041,139.014,1,1,-1,-1,1,,-1,-1
1766050037642,44.9382,-1,-1,43.9616,44.9382,1.02221,171.105,79.6269,9.72488,139.648,1,1,-1,-1,1,,-1,-1
1766050037667,44.9823,-1,-1,44.1435,44.9823,1.019,171.1,79.8184,163.136,140.002,1,1,-1,-1,1,,-1,-1
1766050037692,45.1925,-1,-1,43.9767,45.1925,1.02765,171.218,80.0491,174.908,140.073,1,1,-1,-1,1,,-1,-1
1766050037717,45.4921,-1,-1,44.3048,45.4921,1.0268,171.333,80.2606,0.111672,141.059,1,1,-1,-1,1,,-1,-1
1766050037742,45.4458,-1,-1,44.4183,45.4458,1.02313,171.563,80.265,9.03754,141.163,1,1,-1,-1,1,,-1,-1
1766050037767,45.4573,-1,-1,44.2328,45.4573,1.02768,171.549,80.2459,179.55,140.891,1,1,-1,-1,1,,-1,-1
1766050037792,45.6664,-1,-1,44.4814,45.6664,1.02664,171.402,80.0446,179.34,141.61,1,1,-1,-1,1,,-1,-1
1766050037817,45.8412,-1,-1,44.4303,45.8412,1.03176,171.4,79.8742,2.89424,141.807,1,1,-1,-1,1,,-1,-1
1766050037842,45.4287,-1,-1,44.8806,45.4287,1.01221,171.396,79.645,9.7189,141.859,1,1,-1,-1,1,,-1,-1
1766050037867,45.6152,-1,-1,44.8884,45.6152,1.01619,171.556,79.471,179.453,142.165,1,1,-1,-1,1,,-1,-1
1766050037892,45.7221,-1,-1,44.5787,45.7221,1.02565,171.751,79.386,177.239,141.85,1,1,-1,-1,1,,-1,-1
1766050037917,45.5919,-1,-1,44.5656,45.5919,1.02303,171.76,79.3892,176.618,141.624,1,1,-1,-1,1,,-1,-1
1766050037942,45.7095,-1,-1,44.7093,45.7095,1.02237,171.601,79.4785,1.09622,142.034,1,1,-1,-1,1,,-1,-1
1766050037966,45.6776,-1,-1,44.7574,45.6776,1.02056,171.681,79.2656,177.187,142.059,1,1,-1,-1,1,,-1,-1
1766050037991,45.722,-1,-1,44.7138,45.722,1.02255,171.707,79.1013,179.842,142.061,1,1,-1,-1,1,,51,0
1766050038016,45.6966,-1,-1,44.9747,45.6966,1.01605,171.868,79.2444,173.903,142.428,1,1,-1,-1,1,,51,0
1766050038041,45.5247,-1,-1,44.7946,45.5247,1.0163,171.985,79.1949,176.973,141.876,1,1,-1,-1,1,,51,0
1766050038066,45.4687,-1,-1,44.8996,45.4687,1.01267,172.062,79.3876,1.41787,141.952,1,1,-1,-1,1,,51,0
1766050038091,45.4831,-1,-1,44.7678,45.4831,1.01598,172.227,79.4414,6.66303,141.768,1,1,-1,-1,1,,51,0
1766050038116,45.4726,-1,-1,44.7172,45.4726,1.01689,172.178,79.4638,169.028,141.672,1,1,-1,-1,1,,51,0
1766050038141,45.6717,-1,-1,44.6959,45.6717,1.02183,172.077,79.3152,7.71213,141.953,1,1,-1,-1,1,,51,0
1766050038166,45.4758,-1,-1,44.9885,45.4758,1.01083,172.002,79.2509,15.0776,142.102,1,1,-1,-1,1,,51,0
1766050038191,45.5055,-1,-1,44.7192,45.5055,1.01758,171.824,79.3146,172.099,141.727,1,1,-1,-1,1,,51,0
1766050038216,45.4634,-1,-1,44.6952,45.4634,1.01719,171.791,79.3232,176.097,141.623,1,1,-1,-1,1,,51,0
1766050038241,45.288,-1,-1,44.81,45.288,1.01067,171.6,79.2157,4.36658,141.527,1,1,-1,-1,1,,51,0
1766050038266,45.314,-1,-1,44.6717,45.314,1.01438,171.696,79.1605,166.103,141.351,1,1,-1,-1,1,,51,0
1766050038291,45.3247,-1,-1,44.8766,45.3247,1.00999,173.309,79.2443,161.499,141.689,0.970588,0.970588,-1,-1,1,,51,0
1766050038316,45.2169,-1,-1,44.5096,45.2169,1.01589,173.183,79.2442,175.532,140.944,1,1,-1,-1,1,,51,0
1766050038341,44.9365,-1,-1,44.4918,44.9365,1.00999,173.252,79.4781,161.746,140.475,0.970588,0.970588,-1,-1,1,,51,0
1766050038366,44.929,-1,-1,44.3543,44.929,1.01296,173.221,79.5739,157.353,140.247,0.972222,0.972222,-1,-1,1,,51,0
1766050038391,44.7773,-1,-1,44.3792,44.7773,1.00897,173.339,79.4969,169.709,140.047,1,1,-1,-1,1,,51,0
1766050038416,44.5385,-1,-1,44.4406,44.5385,1.0022,173.13,79.3487,142.068,139.768,1,1,-1,-1,1,,51,0
1766050038441,44.6753,-1,-1,44.0708,44.6753,1.01372,173.06,79.294,167.611,139.404,1,1,-1,-1,1,,51,0
1766050038466,44.3857,-1,-1,44.1065,44.3857,1.00633,172.844,79.1286,7.04512,139.003,1,1,-1,-1,1,,51,0
1766050038491,44.3941,-1,-1,43.9673,44.3941,1.00971,172.682,79.0666,157.968,138.799,1,1,-1,-1,1,,51,0
1766050038516,44.3248,-1,-1,44.0872,44.3248,1.00539,172.761,79.0206,160.762,138.877,0.96875,0.96875,-1,-1,1,,51,0
1766050038541,44.2036,-1,-1,44.0124,44.2036,1.00434,172.939,79.0542,131.234,138.569,1,1,-1,-1,1,,51,0
1766050038566,44.3529,-1,-1,43.8727,44.3529,1.01094,173.077,79.1456,170.371,138.586,1,1,-1,-1,1,,51,0
1766050038590,44.1731,-1,-1,44.0133,44.1731,1.00363,173.019,79.2279,78.3697,138.523,1,1,-1,-1,1,,51,0
1766050038615,44.2449,-1,-1,43.7958,44.2449,1.01025,173.038,79.181,159.138,138.295,0.9375,0.9375,-1,-1,1,,51,0
1766050038640,44.068,-1,-1,43.8712,44.068,1.00448,172.805,79.2501,18.9696,138.135,1,1,-1,-1,1,,51,0
1766050038665,44.3696,-1,-1,43.5891,44.3696,1.01791,172.744,79.3342,162.506,138.168,1,1,-1,-1,1,,51,0
1766050038690,44.2083,-1,-1,43.8761,44.2083,1.00757,172.87,79.3217,172.995,138.363,1,1,-1,-1,1,,51,0
1766050038715,44.037,-1,-1,43.9522,44.037,1.00193,172.996,79.4439,64.0421,138.213,0.972222,0.972222,-1,-1,1,,51,0
1766050038740,44.325,-1,-1,43.6925,44.325,1.01448,172.969,79.5453,171.676,138.259,0.969697,0.969697,-1,-1,1,,51,0
1766050038765,43.9529,-1,-1,43.6503,43.9529,1.00693,172.828,79.3648,131.521,137.607,0.939394,0.939394,-1,-1,1,,51,0
1766050038790,43.9688,-1,-1,43.7146,43.9688,1.00581,172.738,79.2274,152.14,137.733,1,1,-1,-1,1,,51,0
1766050038815,44.0509,-1,-1,43.7641,44.0509,1.00655,172.908,79.1776,64.1135,137.94,0.944444,0.944444,-1,-1,1,,51,0
1766050038840,44.0487,-1,-1,43.7914,44.0487,1.00588,173.032,79.0826,177.101,137.979,1,1,-1,-1,1,,51,0
