;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30
-500;-0.00639453507138357;0.0927829951065126;-0.040131547087535;0.139985906420686;0.00713823757114165;-0.00233025134613132;-0.0246885481372862;-0.0440861107944157;0.113145922146428;0.151870918164824;-0.0768928014273111;0.268571695053093;0.0182283703544351;-0.0372097792306197;0.143904792999365;-0.163168413243941;-0.112281155482887;-0.156205748974424;-0.000863390549158671;0.0143878302593003;-0.0275232078147392;-0.0421942975899965;0.0281999491370452;-0.167369303718554;0.000508099711874355;-0.141463749378522;0.0619968300451266;0.067791361606401;-0.074641650550747;-0.465388085648031
-475;-0.0100335151128427;0.0874241924513798;-0.0404735017373828;0.126239590076891;0.00236588266167983;0.00175879587600378;-0.033584867645634;-0.0372521623207584;0.115448586297237;0.121599151314851;-0.0614551865014334;0.249945888867675;0.015493810414337;-0.0274239183579826;0.139494480058266;-0.157443721096464;-0.0930264563596112;-0.155546966265551;-0.00451761291743717;-0.000363607598741433;-0.0371452038336245;-0.0400489571939176;0.0555209960451312;-0.152681613051769;0.013083354833091;-0.134244609265825;0.0741655658104313;0.095090774848281;-0.0853878891714357;-0.402785017996643
-450;-0.0143593389150351;0.0790074043288797;-0.041788851696464;0.112501409329345;-0.00342034345184414;0.00478016234870791;-0.0401224465760805;-0.0321412358951642;0.111543008754912;0.0856795360281195;-0.044371119060134;0.230186160792478;0.01255675600899;-0.0174480124899079;0.13716092629665;-0.148335647547734;-0.0747430689932231;-0.150717097979576;-0.0066482927274039;-0.00726532999642981;-0.0484606714473613;-0.0378393018475567;0.077719604549018;-0.137291954942479;0.0233800930436666;-0.127321590424715;0.0785971494827012;0.112129250019195;-0.0937951502720915;-0.333394457158056
-425;-0.0185143181457411;0.0649744675344214;-0.0396862387743742;0.0984071365063666;-0.00851793539245369;0.00767012566829615;-0.0436218454548422;-0.0288059757694736;0.10227052024045;0.0450238515694412;-0.0260505177703453;0.210217971071036;0.0130188960977063;-0.00664314891524613;0.129865243850091;-0.13310490138544;-0.0547033452776648;-0.140689560621274;-0.00695132180110707;-0.0126719289185859;-0.0547696850382381;-0.0353453687764614;0.101643897268521;-0.122945148236458;0.0312956450479903;-0.11997994555287;0.076416325404173;0.117222477591841;-0.108825478158042;-0.269597040569249
-400;-0.0218904502074612;0.0482828519860564;-0.0372206303500296;0.0803429148637194;-0.0114687153402092;0.00978832485051559;-0.0437315871217178;-0.0236232505904319;0.0866583203858632;0.00416141775554908;-0.00775602910043007;0.185337243101748;0.0140460746958094;0.00514596191822365;0.119775006786455;-0.11557160016892;-0.0378942609622201;-0.126942749526476;-0.0102032648787512;-0.0178478663006125;-0.0611888703710505;-0.0284606844903906;0.123209809601107;-0.107539600767797;0.0399193970782835;-0.111637206289825;0.0665785615736319;0.112975794116724;-0.125018735854564;-0.194121352274057
-375;-0.0249763858853488;0.0296895885924765;-0.0328357777755049;0.0592583100331168;-0.013796396363949;0.0125063347083073;-0.0421774567386965;-0.0191969688316853;0.0674808416507991;-0.0301657087372256;0.00934622622477841;0.156457311428527;0.0137807055324378;0.0151860564905852;0.106376904183245;-0.0928200767569946;-0.0223927773444072;-0.109971784947851;-0.0121066072269041;-0.0183402712584428;-0.0643440692624511;-0.0172395811079511;0.138884843532311;-0.0904139418750889;0.0435556502916158;-0.0989282838303646;0.0566391003997273;0.10459724754341;-0.14005343041169;-0.119579517236398
-350;-0.026739775406759;0.010633919471431;-0.0276376141609811;0.0401240695001674;-0.0148852375743696;0.0119252615217043;-0.0385609150923873;-0.0160029682856921;0.0474665869192036;-0.0569715470830872;0.0277284351948622;0.124141575842514;0.0122155037027877;0.0227946620056556;0.0860564351949402;-0.070267448809631;-0.010177785275564;-0.08936524171312;-0.012508041354661;-0.0156980045716513;-0.0625199388129057;-0.00457383002441696;0.148818286066376;-0.0745581038157708;0.0437783870771638;-0.0829158927712037;0.0405203241419257;0.0917654228594782;-0.145091830552109;-0.0595782711051961
-325;-0.0258002720396592;-0.00866896829260875;-0.0207916509285627;0.0207009740785895;-0.0157352952403472;0.00970893817300475;-0.0328569143968923;-0.0141760332560905;0.0269619446060561;-0.0759150774848721;0.0417854129083653;0.0874133528144978;0.0107748657261352;0.0294917391682225;0.0634338227413597;-0.0493868548288704;0.00205111775519322;-0.0652288083422693;-0.0123282558068616;-0.0162570093841794;-0.0599890868634604;0.00750549258590456;0.148174308455366;-0.0583065819047759;0.0394449156412381;-0.0677092253275539;0.022144881555124;0.0739817797743414;-0.145560957375529;0.00283209510841607
-300;-0.0223967538874664;-0.0256099650347731;-0.0121569986674058;0.000266247056460056;-0.0178135546236452;0.00588929858963358;-0.0273475012275447;-0.00845699513773574;0.00845467807470932;-0.0868652415461888;0.0517461793453738;0.0492991968630956;0.00932448240179116;0.0332893289604905;0.040948103942719;-0.0273336275440389;0.0112210855195721;-0.0402803958050914;-0.00960473277940337;-0.0160095272153928;-0.0570055321582573;0.0213668299475955;0.137783728484889;-0.0414034856940813;0.0286188162676836;-0.0544465477107423;-0.00221974855418323;0.0476253469331334;-0.136805902285235;0.0531814116605008
-275;-0.0179254483629757;-0.040066676433219;-0.00349849823620478;-0.017649173689319;-0.0215674072513901;0.0016027370653696;-0.0198998853084086;-0.00312804450601085;-0.00929704357714325;-0.0873758269756034;0.0566739590777666;0.00882291045638484;0.00648064705947102;0.0330791530507947;0.0144157507002975;-0.00511983788339645;0.0222792156557186;-0.0160580497371606;-0.00708615493161751;-0.0137942559160698;-0.0503077474804457;0.0279724201275852;0.113843015912659;-0.0241447682593492;0.01368016181228;-0.0385209687065411;-0.0279133755706384;0.0221606309284384;-0.114219734448525;0.0977460254549999
