;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30
-500;-0.0481213591780123;-0.048320269591719;-0.0685901416104058;0.176142185963208;-0.105381372519406;-0.000797899834992544;-0.00443700985176982;-0.0905847318570597;-0.0656342808148862;-0.0114140941335795;-0.0443228185707904;-0.117533409350696;-0.159646622873769;0.0897662034701964;0.00988558107958104;-0.0587541412705064;0.0525222365271507;-0.0355203570837241;0.156193007357429;0.0738656898377155;0.059180668670477;-0.0167297399067609;0.00891869877814657;0.239683959356576;0.0227528303792324;-0.0466148496120996;0.0345474322507511;0.217262362456225;-0.0802984495085677;0.106813744909752
-475;-0.0418993935203411;-0.0430817829308515;-0.0711888145042321;0.166781957956264;-0.0944833818616822;-0.00353328063781331;-0.00669710024213761;-0.0880595871463404;-0.0742466892828872;-0.0173206592920342;-0.0397382198782154;-0.110422287818391;-0.142089893713385;0.066610982858654;0.0108706731933741;-0.056579663559265;0.05180088762726;-0.0185461621853091;0.136978000745728;0.0669226447898899;0.0482840437733059;-0.0101306967865135;0.00785763057945545;0.195281446596138;0.00480276977461429;-0.0360117933031016;0.035327322939335;0.200695122461861;-0.0743766699817026;0.0943993632839812
-450;-0.0351788656786786;-0.0381901254578797;-0.0709127267435548;0.155094188234965;-0.0825262813744941;-0.00641221072864515;-0.0102690734142085;-0.0832431086120447;-0.0780968737028473;-0.0236474942363653;-0.0313760165222593;-0.101574371244222;-0.125722332981474;0.0471171763968458;0.0120142689287603;-0.0532081491538299;0.0494430932669501;-0.0037493073517838;0.120458298955754;0.0625676742019454;0.0372134337520545;-0.00496926928045873;0.00484392378346468;0.149494855694443;-0.0111091318860137;-0.027200241205171;0.0363383591527416;0.18192445802963;-0.0659247679475193;0.0818759579488559
-425;-0.0271884577918455;-0.0332044545624583;-0.0676512606356139;0.141359127896805;-0.0695684102237788;-0.0102677628106312;-0.0146477740146893;-0.0762298559184385;-0.0774975627142691;-0.0265645504882023;-0.0196717146026208;-0.0910437318671738;-0.106342831006208;0.0308335110881963;0.014112591646835;-0.0467340226344501;0.0462571719682645;0.00810177440269411;0.103483254434257;0.0598413874649646;0.0265667016895581;-5.43908315030706e-05;0.00373922398354645;0.104289933408362;-0.0253787118538391;-0.0199193402273553;0.0376555999826241;0.16145366632877;-0.0549799191236251;0.0692610765451759
-400;-0.0194791001807641;-0.0286602521078335;-0.0607409420640079;0.123509182998947;-0.0568278126744968;-0.0146412940813974;-0.0201609298988416;-0.067319275496597;-0.0731453595037443;-0.028868180573392;-0.00724215300781896;-0.0786787447746818;-0.0886696011405132;0.01759785672847;0.0165810416230312;-0.0391401341979303;0.0418360391331574;0.0177909081844867;0.0874261320892585;0.0594904021493425;0.0152382167980261;0.00296933470848479;0.00394028405194349;0.0607878434080831;-0.0369996249655308;-0.0126981640031304;0.0385639554826951;0.139227273006259;-0.0412635991387078;0.0574737528304347
-375;-0.0118066340551137;-0.0249359354048017;-0.0509777606731416;0.102955809354727;-0.0428633849379132;-0.0196287929260571;-0.0235590696002199;-0.059246768714822;-0.065961489274386;-0.028141238415696;0.00594987320825844;-0.0629233279765884;-0.0714113678867245;0.00661826220734447;0.0187397217973024;-0.0312322585836289;0.0353125991772967;0.0232829924118312;0.0698585636170447;0.062338468475696;0.00426231742357723;0.00501227039052097;0.00231851993433509;0.0189863105034644;-0.0449412163449249;-0.00578749587892871;0.0403414050504432;0.115182419738269;-0.0263305072216107;0.0475552219457013
-350;-0.0045182879405687;-0.0212684833113971;-0.0394849846961896;0.0812312205070218;-0.0298594093178295;-0.0239903446535247;-0.0248613061157985;-0.0506759778202901;-0.0550929454303297;-0.0250269680349568;0.0178334866841615;-0.0473127779265051;-0.0537762792367213;-0.00237936962658285;0.0218635258758373;-0.0233594564094735;0.0277967607337219;0.0261055301864099;0.0524820765242132;0.0649215688613785;-0.00557386914025022;0.00633897548361482;0.00425189088842051;-0.0184599956502904;-0.0497681636888265;-0.000486954202920575;0.0410924515273448;0.0899574465508778;-0.0119204668439284;0.0384823955115777
-325;0.00205870400602808;-0.0183028097386132;-0.0267377997638871;0.0582758165803408;-0.0175996468072173;-0.0264890293436756;-0.0264600055312835;-0.0407420476057525;-0.0419051733160786;-0.0200101336910504;0.0293073734418533;-0.0304624247434891;-0.0347413281828461;-0.00821937172728209;0.0243894285568218;-0.0145410719192429;0.0198304850110536;0.0261676032721117;0.0376364418091698;0.0642652283218776;-0.0134744425979913;0.00628181064601971;0.00424563616590103;-0.0522014104644166;-0.051220922398776;0.00375246871209454;0.0391581458432717;0.0632129370323599;0.00322290199420512;0.028846464042107
-300;0.00818516072524171;-0.0136937212946488;-0.0133385772585932;0.0348621659853055;-0.0045804170323072;-0.0271648588091134;-0.0261917552700592;-0.0311804964645944;-0.0289200887848153;-0.0138208181604914;0.0374890264917266;-0.0142583026551096;-0.0173124078325179;-0.0125945240556982;0.0245406651102758;-0.00535537527574759;0.0104490815303218;0.0246776318889268;0.0216484321105935;0.0604068193076204;-0.0179049287084083;0.00566188728362214;0.00383934655682041;-0.0786050101053706;-0.0504371541530155;0.00833509496477989;0.0361828589015781;0.0390773256404927;0.0169283392774031;0.0191445098045961
-275;0.0135653221707935;-0.00875329653477044;0.000388924126405454;0.0108480411394126;0.00722687590212696;-0.0264229163199559;-0.0240807340309934;-0.0213682839136147;-0.0142978669389837;-0.00683146823393979;0.0407882747244402;0.00201946408465066;0.000500621855511296;-0.017583830261035;0.0229848211744117;0.00420985978757704;0.00150390904235942;0.0210391994984038;0.00499486083770515;0.0560930439969969;-0.0218387254707248;0.00578330625564636;0.00215106601823103;-0.0978288024803302;-0.0472815580461418;0.010541036229558;0.0313211110847758;0.0147423858858208;0.0280440136141684;0.0101334981595768
