PLR_LUND_Participant;PLR_LUND_Recording interp [%];PLR_LUND_Mean of Trialwise interp fromVBLToStimOnset[%];PLR_LUND_SD of Trialwise interp fromVBLToStimOnset[%];PLR_LUND_Mean of Trialwise interp fromStimOnsetToStimOffset[%];PLR_LUND_SD of Trialwise interp fromStimOnsetToStimOffset[%]
subject_0001;12.8934334558236;12.1067648190579;3.73223043892231;-2.29164309375589;26.1627973673961
subject_0002;6.71778896077962;5.76657352583121;1.5413759523294;-4.47914272396432;29.6359435466849
subject_0003;5.71131879543094;4.74440381377459;3.86698332455892;-5.06247597396434;30.9317242068347
subject_0004;13.2438693186357;12.3824052529329;3.72077347683552;-1.91664334375583;29.7483803528822
subject_0005;11.9098969566259;11.0468551155299;5.99633332787408;-4.70830932292267;29.3457499228957
subject_0006;7.81212556913491;6.87499926046739;1.15510173035617;-2.87497645833921;29.9818595461542
