;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30
-500;-0.0105769837134393;-0.0770740864857103;-0.0569019855091159;-0.0522204744808917;0.00923866928213637;-0.141674040091872;-0.0838937397649536;0.0223635261991586;-0.0124449128998705;-0.0600491503805557;-0.0279582765828347;0.0634363264431314;-0.046377294254795;-0.105078159654661;-0.186778262074434;0.0134017042193396;-0.0290819896145674;-0.0629909024950094;0.0257649337826616;-0.0198215270291267;0.0274454415471141;-0.123263884039179;0.00397233020666707;-0.078780957371617;-0.0796976279167936;0.0327380603639888;-0.0346725102870864;0.0387634140789993;0.0193078617246474;-0.00156456286565372
-475;-0.0134922260230097;-0.067129212502223;-0.0643571076432909;-0.0391474760479623;0.00813648706984806;-0.13592437084366;-0.0793891941717742;0.0216143894404663;-0.0155431445565107;-0.0455848169029952;-0.022608814608433;0.0609004041482323;-0.0353583997909498;-0.0928873518545818;-0.184996865977242;0.00905230829720147;-0.0266997392525147;-0.0640058582900183;0.0285930643119468;-0.00756722785437196;0.0207113350047678;-0.132747981938426;0.00564217714364599;-0.0826260277135041;-0.0586407948966779;0.0315486856200825;-0.0275467284476698;0.0258505662724907;0.0103457340180932;-0.00709813883050887
-450;-0.0178086050139526;-0.0621393949743881;-0.0764608518220075;-0.0237590037971215;0.000941897993329688;-0.133370476823227;-0.0741754479562649;0.0212878231311022;-0.0162458957435463;-0.0324815966361513;-0.0213066927233515;0.0550525237486079;-0.0254740780406021;-0.0842819377436077;-0.176985938776482;0.00452768888942665;-0.0240781344317288;-0.060796137706708;0.0276937264576143;0.00196730676885766;0.0234403808613525;-0.110991726343051;0.00741556343485303;-0.0848929547984797;-0.0470580394563154;0.0295877244920703;-0.0175024279913027;0.0144924526835796;0.00500850188121738;-0.0213071288203696
-425;-0.0205023997670788;-0.0521303207798237;-0.0814231490938696;-0.0133401903752702;-0.00965554316352333;-0.120732776561145;-0.0675273920554652;0.0196752402012434;-0.0105352382943476;-0.0181748280390529;-0.017847368018672;0.0468303543164339;-0.016858016134481;-0.0800667292533805;-0.164313066806971;0.00677443774043494;-0.0207093558587955;-0.055403149135686;0.0212108779903889;0.0114599622133579;0.0205036609745721;-0.0960879047694955;0.00873642321997146;-0.0740131899138084;-0.0403975240831703;0.0240404430733899;-0.0135296025088931;-0.0022010594470979;-0.00634743366073853;-0.0272353604369524
-400;-0.0188314198427835;-0.0409682550770119;-0.0837232244610692;-0.00337216715808673;-0.0198260337054455;-0.10625798993244;-0.0561588452018468;0.0163234786774302;0.000640773938696171;-0.0146519152358632;-0.0171284760753937;0.0434809791311741;-0.0105934861044391;-0.0772415717041423;-0.143015907180896;0.00354640770934531;-0.0201677961281824;-0.0502790053591918;0.0186704129005824;0.0197333066817353;0.0194034333316444;-0.0457338673840697;0.00961028163887843;-0.0681990587686408;-0.0251649905309517;0.01396105215267;-0.00930042654806269;-0.00895576762763515;-0.0202588763312692;-0.0311460861755223
-375;-0.0204881666647332;-0.0327804607197898;-0.0835650647548238;0.00437820461571228;-0.0264048833160631;-0.0940987496590067;-0.0404501845699278;0.0152078323859774;0.012891225627784;-0.0197882235537937;-0.0144402056284355;0.0411801191135108;-0.00432181065132089;-0.0733269292594431;-0.118322413115807;-0.000874598378232916;-0.0123827164685673;-0.0447763659701204;0.0144291225371341;0.0194749568252523;0.0107254648850054;-0.0243201257440448;0.00968149670569804;-0.0533037219705491;-0.0410012022363162;0.00865219098051653;-0.00483351233957525;-0.0254116511619241;-0.0314734130848413;-0.0388403491061089
-350;-0.0217218905165207;-0.0303001553618826;-0.0732889135672411;0.00523228419941049;-0.0408579647707076;-0.0794973013091412;-0.0242397194404345;0.0157308868584744;0.0265975550389641;-0.0224055249458241;-0.00943852646832419;0.0301988347757697;-0.000385695299381839;-0.0650340113739786;-0.0878972370062083;0.0134408900668016;-0.0105821786002101;-0.0309271116064601;0.0040891707659557;0.016168808368304;0.00968717540062376;-0.0128671777809383;0.0116369384302827;-0.0354233879553843;-0.0470447297227157;0.00744831611431454;-0.00699178342088165;-0.0336719349649895;-0.034126625329659;-0.0461653563107029
-325;-0.0234732564584752;-0.026779786041932;-0.0615763193542404;0.00639556269587729;-0.0548007958802524;-0.067660800998433;-0.00479785018436605;0.0161711433948641;0.0332416110908282;-0.0193660460212163;-0.0037327864953117;0.024335645262;0.00315963241240911;-0.0537250988457918;-0.0609212351561332;0.0179170569990931;-0.0022751708673848;-0.019399413989344;-0.00518154335615675;0.0206159899516513;-0.00504384035375742;0.0204030243858391;0.00354933526249344;-0.0133921399482023;-0.0386769435023116;0.00449483151548704;-0.00680783276988834;-0.0326234716087065;-0.0402459000846902;-0.043552377955562
-300;-0.0229547855742498;-0.0210042348893445;-0.0498156752913514;0.00904202906577147;-0.0588594842487618;-0.0480499663764427;0.00709005565146317;0.0136356901547742;0.0330819252222893;-0.0127328533230408;0.00246700943108293;0.0193948380053825;-0.0013109477949135;-0.0383444562955135;-0.0313015104656831;0.0246299510705209;0.00381937178045657;-0.00630343528179265;-0.0151430578887525;0.0187951137563489;-0.0051947088707665;0.0637913401882618;0.00378480043238003;0.00950678943882957;-0.0248355300484624;-0.00226606826222828;-0.00353612276662525;-0.0220391131228178;-0.0377568745749628;-0.0351401540938543
-275;-0.0177441589514767;-0.0161507030748972;-0.0289834615838894;0.0101098165544919;-0.0538630929780667;-0.0265158174172573;0.0123763136538772;0.0106608790136386;0.0309768213300671;-0.00623508222417382;0.00898927741522928;0.0105951661812637;-0.00287577720546364;-0.021342835064497;-0.00185220070274639;0.0244165761585736;0.0103123250865419;0.00509881759478783;-0.0235252907843967;0.0183439843993775;-0.00504944803908596;0.0798181114604751;0.00559651622792199;0.0318815669851148;-0.0066463472702543;-0.00247826740959476;-0.0111629834323623;-0.00950985148479919;-0.0240059149997542;-0.0212286769906873
