;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30
-500;0.170438560800483;0.550820699125998;-0.0398508323779752;0.174386806814582;-0.0893373212833809;-0.219384805041958;-0.0642177699689211;0.3570943883658;-0.135568880104143;0.269226077303683;-0.07793029087004;0.193558062671563;-0.0754555786925347;-0.20521484579088;0.215463293313554;0.151579845512893;0.27968051012451;-0.0470011608594993;-0.093768891388299;-0.0981350958782797;-0.281563139693719;0.0979985999188185;0.106103600644676;0.177274992465266;-0.0388878870678235;-0.0949393870170474;-0.396055231554333;-0.174893883611928;-0.0132585995664559;0.166337975618388
-475;0.125358417136304;0.471845550908118;-0.0298280037756327;0.1381026516443;-0.0816856411338992;-0.191703203962342;-0.0685342836809516;0.352204948812463;-0.119346435685401;0.212668232671166;-0.0737931906742918;0.193804557357334;-0.0808707542453578;-0.162884384047752;0.218472445891608;0.183511766582895;0.241569779902541;-0.0332849884949806;-0.0936078289721757;-0.082701871614491;-0.272074922442523;0.0789873570651632;0.0863400322102619;0.180863395763575;-0.0318051686156852;-0.0868820045722889;-0.342745360894139;-0.156068790112817;-0.0352669239487916;0.178251434152953
-450;0.0863574526535224;0.399485198970468;-0.00640522468927363;0.103384471700318;-0.0721194671840602;-0.163175329692657;-0.0669505202120189;0.341135402824048;-0.104442398026057;0.160069819586427;-0.0674355317929685;0.201019686348469;-0.0877101970210746;-0.123284852540379;0.212413617274412;0.209798514551919;0.200852006420049;-0.0166559632442183;-0.0901479446568371;-0.0680809754517951;-0.268627886098381;0.0592249380151498;0.0694773296841076;0.177664026665722;-0.0205719954961312;-0.0812163645360111;-0.292959729655601;-0.136688451456737;-0.0484944847148373;0.179655490716666
-425;0.0516560065168711;0.341176959620335;0.0141145338892039;0.0766557982269218;-0.0591050446923972;-0.132503659732183;-0.0672573988250556;0.331740177298957;-0.0887744336781279;0.110475007031805;-0.0601433526339791;0.180431026576944;-0.0932095643984133;-0.0799309930172374;0.202079073242119;0.220012347641219;0.167665690625362;0.00352980429091643;-0.0883047925808364;-0.0508108970766826;-0.268706161951032;0.0378700889765232;0.0539156109308881;0.167269709837312;-0.0105082640691103;-0.0771532280058476;-0.237529696020168;-0.116379055593157;-0.0658214516559828;0.180847138247581
-400;0.0172086309125012;0.28436712288192;0.0273348914038098;0.0491654126909069;-0.0522872132564976;-0.110040273471241;-0.0606366142269644;0.315793116583375;-0.0717740603966623;0.0677562244973083;-0.0584959957912671;0.158825617065535;-0.0965891273121687;-0.0369983777867842;0.191700446199448;0.225960479107613;0.138734170932107;0.0232173450135922;-0.084356115279526;-0.0370969976266045;-0.253536417544415;0.0167549097965253;0.0341792664657579;0.149852990835445;-0.000251244415669438;-0.0631247548588081;-0.185907606380749;-0.098330631849085;-0.0721053381389355;0.174165245420768
-375;-0.0115176899563519;0.237824909847604;0.0363766328550035;0.0329139032978667;-0.0439156326994895;-0.0846720746040304;-0.0543052336670694;0.298517900559595;-0.0548407670216021;0.0309271325421159;-0.0574580709962703;0.135874393190352;-0.0981691647441708;0.00293339952008327;0.177899430318151;0.21588240642522;0.106372094348442;0.0380146335604343;-0.0816490360245838;-0.0292938207744813;-0.223131651186736;0.000475653430153633;0.0152014546242585;0.126835040582546;0.00569926655273094;-0.0394308189384094;-0.134957089229047;-0.0797165359209393;-0.0697329026159255;0.16207147114134
-350;-0.0340102472790721;0.196920975630142;0.0332985898334026;0.0217254401704425;-0.0338100091540464;-0.0578907344193893;-0.0461864382933891;0.274625373494542;-0.0399820236863738;-0.00212467024623715;-0.0528833676344217;0.10594982137342;-0.101351913361263;0.0410645117113643;0.161768347247092;0.190917494548247;0.0725859203722273;0.0538205212065876;-0.07551780101881;-0.0197847499962816;-0.193256535292658;-0.0201990247201783;0.00164002170620496;0.0978234229956032;0.0202991799391628;-0.0167578516848415;-0.0824285446020261;-0.0612977769502569;-0.0642904349747869;0.1438009283439
-325;-0.053132758814275;0.157406096957977;0.0374388719843279;0.00554720868403642;-0.0254090471053426;-0.0306780953698307;-0.0352050686119;0.242174655185707;-0.0213966181957045;-0.0290001732538425;-0.0455029328000106;0.0806984609475707;-0.100312802193917;0.0759366066229696;0.144869502698274;0.158483576618959;0.0399109934228193;0.0679501211536482;-0.0646771780257289;-0.0107937360715127;-0.130966838627501;-0.0327831433762459;-0.0133539348094586;0.0647513163405649;0.031637303822027;0.01434136566805;-0.031610095549705;-0.0427775059179869;-0.0545748003344245;0.120063428293009
-300;-0.063368346385812;0.0916257574988368;0.0394035475237267;-0.0099663899709455;-0.0165501700251936;0.00206905616866711;-0.024557872764252;0.205969157763653;0.00389170072452236;-0.0507132203268392;-0.036924704225851;0.0393622250061387;-0.0935095219652791;0.106527276712955;0.130669678163257;0.121845938060504;0.0108157896528736;0.0765004538387735;-0.0503674270331435;-0.00529191320938076;-0.073192452074537;-0.0403180741745862;-0.0248923594449319;0.0288785191390779;0.0422121719872602;0.0537123506831532;0.0138128486605467;-0.0263004094408103;-0.0425980678060836;0.0912349669516343
-275;-0.0667108581537848;0.0359332972785033;0.0509272674712313;-0.0330635874810808;-0.00452945590370399;0.0233718597841696;-0.0135849572709329;0.15363964611549;0.0270979441039448;-0.0658758148428815;-0.0292799553722923;0.00330987124694988;-0.0805760872246407;0.12842258413297;0.114911962733859;0.0588182061443163;-0.017327032759365;0.0808178044895889;-0.0317424552510647;0.000889035477457289;-0.0178484001687961;-0.0514107185928335;-0.0260092109596028;-0.007275456806463;0.0568779792227705;0.0930340266683145;0.0537109405552039;-0.0116575948753132;-0.0311122624133787;0.0605098907892304
