PLR_LUND_Participant;1.0000000000;2.0000000000;3.0000000000;4.0000000000;5.0000000000;6.0000000000;7.0000000000;8.0000000000;9.0000000000;10.0000000000;11.0000000000;12.0000000000;13.0000000000;14.0000000000;15.0000000000;16.0000000000;17.0000000000;18.0000000000;19.0000000000;20.0000000000;21.0000000000;22.0000000000;23.0000000000;24.0000000000;25.0000000000;26.0000000000;27.0000000000;28.0000000000;29.0000000000;30.0000000000
subject_0001;-2.5950460088;-2.6462996964;-1.5652106795;-3.3156276408;-2.4541036617;-2.4546598919;-2.5095344562;-3.1419249262;-2.1632633585;-2.7311214872;-2.3735798274;-2.7381010354;-2.3793132839;-1.6222301916;-2.9686307745;-2.3038982197;-2.8768056830;-2.6831813696;-2.8743035272;-2.5121747526;-2.8699143698;-2.6423625680;-2.6638865848;-2.6385867629;-2.0862217789;-2.2911048306;-2.9792960115;-2.6680456358;-2.4615632298;-2.3510001488
subject_0002;-2.9032824020;-2.0914980602;-2.5501370855;-2.0897178310;-2.2185934229;-2.6910350445;-2.4610691852;-2.5768098327;-3.1661385817;-1.4237120325;-1.2469115793;-3.1285975668;-1.8136411617;-1.6637609600;-2.6783164350;-2.6531497272;-2.2998642541;-2.7635779610;-2.3738995270;-2.7924028757;-3.0888558246;-2.6494008348;-2.5470775660;-1.7150261455;-2.6927739982;-3.3324240384;-2.0453016553;-2.6612482370;-2.5967436661;-2.8781699475
subject_0003;-3.0417429375;-2.7072391134;-2.3991200973;-2.5055055036;-2.6025590265;-1.8515968513;-2.8678189876;-2.8010386539;-1.8829402865;-3.5533613689;-1.8961399542;-2.8022349822;-2.5223844083;-1.7169125754;-2.6908943083;-3.1565942060;-1.5886737173;-1.6662668393;-2.2691207130;-1.9825418633;-2.4814444969;-2.3805015535;-2.4607229908;-2.5575534565;-2.5079423591;-2.4069980568;-1.8080865743;-2.4117915110;-3.1675450738;-2.7603130291
subject_0004;-3.1652536184;-2.5859771827;-2.5674347362;-2.7621378062;-2.7843797207;-2.5937662986;-2.8405952599;-2.4898699432;-2.5111046763;-2.8192088815;-2.8237031274;-2.4777560077;-2.8200830970;-3.1357337102;-2.4344458830;-2.6490929221;-2.7164717419;-3.2286152177;-1.8401123374;-2.8664451962;-2.2249242920;-2.4902697817;-2.4428688551;-2.9300467038;-2.7692590931;-2.3675682350;-2.6021578933;-2.9301563481;-3.1370311318;-1.6347336716
subject_0005;-2.7472891184;-3.1075642940;-2.3642489788;-2.8142259748;-2.7690138269;-2.7625307637;-2.6546475144;-2.6050181061;-2.4213407670;-3.1209581811;-2.6580738436;-2.1071027367;-2.6268383725;-2.4270048781;-2.5626774113;-2.5314254582;-2.5314897094;-2.3488214064;-2.5159345950;-2.8128399392;-2.8342333641;-2.7990082785;-2.0776058676;-2.4969804855;-2.5755781148;-2.2488294475;-3.1795450634;-2.1087350039;-2.9148251813;-2.5501990881
subject_0006;-3.0470866535;-2.4208953640;-2.6285913820;-3.0680471806;-2.1047684801;-3.1107188362;-1.9133609840;-2.7217914531;-2.9938314604;-2.1644819127;-2.1773408275;-2.4806886338;-2.4882672322;-2.4323257741;-2.4395894966;-3.0151785485;-1.9342261079;-2.4768052932;-2.9465894145;-2.3047970374;-2.6427732644;-1.8162600922;-2.4913542598;-2.4741362785;-2.7759676207;-2.5714225032;-3.0547448977;-1.7006434262;-2.7390257679;-2.7470737073
