TrialNr;Latency;Subject;System
26;1300;subject_0006;Tobii
27;900;subject_0006;Tobii
28;825;subject_0006;Tobii
29;1575;subject_0006;Tobii
30;1050;subject_0006;Tobii
1;2100;subject_0001;PupilEXT
2;1550;subject_0001;PupilEXT
3;1275;subject_0001;PupilEXT
4;1400;subject_0001;PupilEXT
5;1275;subject_0001;PupilEXT
6;1300;subject_0001;PupilEXT
7;1225;subject_0001;PupilEXT
8;1300;subject_0001;PupilEXT
9;1225;subject_0001;PupilEXT
10;1200;subject_0001;PupilEXT
11;1300;subject_0001;PupilEXT
12;1125;subject_0001;PupilEXT
13;2900;subject_0001;PupilEXT
14;1200;subject_0001;PupilEXT
15;1425;subject_0001;PupilEXT
16;1150;subject_0001;PupilEXT
17;1175;subject_0001;PupilEXT
18;1175;subject_0001;PupilEXT
19;1150;subject_0001;PupilEXT
20;1150;subject_0001;PupilEXT
21;1075;subject_0001;PupilEXT
22;1250;subject_0001;PupilEXT
23;1100;subject_0001;PupilEXT
24;1275;subject_0001;PupilEXT
25;1100;subject_0001;PupilEXT
26;1175;subject_0001;PupilEXT
27;1200;subject_0001;PupilEXT
28;1100;subject_0001;PupilEXT
29;1200;subject_0001;PupilEXT
30;1150;subject_0001;PupilEXT
1;2325;subject_0002;PupilEXT
2;1300;subject_0002;PupilEXT
3;1700;subject_0002;PupilEXT
4;1650;subject_0002;PupilEXT
5;1500;subject_0002;PupilEXT
6;1225;subject_0002;PupilEXT
7;1825;subject_0002;PupilEXT
8;1250;subject_0002;PupilEXT
9;1000;subject_0002;PupilEXT
10;2075;subject_0002;PupilEXT
11;2100;subject_0002;PupilEXT
12;1725;subject_0002;PupilEXT
13;1050;subject_0002;PupilEXT
14;1575;subject_0002;PupilEXT
15;2450;subject_0002;PupilEXT
16;1075;subject_0002;PupilEXT
17;1200;subject_0002;PupilEXT
18;1325;subject_0002;PupilEXT
19;1700;subject_0002;PupilEXT
20;1075;subject_0002;PupilEXT
21;1650;subject_0002;PupilEXT
22;1675;subject_0002;PupilEXT
23;1375;subject_0002;PupilEXT
24;1025;subject_0002;PupilEXT
25;1350;subject_0002;PupilEXT
26;1625;subject_0002;PupilEXT
27;2225;subject_0002;PupilEXT
28;1275;subject_0002;PupilEXT
29;1200;subject_0002;PupilEXT
