PLR_LUND_Participant;PLR_LUND_Recording interp [%];PLR_LUND_Mean of Trialwise interp fromVBLToStimOnset[%];PLR_LUND_SD of Trialwise interp fromVBLToStimOnset[%];PLR_LUND_Mean of Trialwise interp fromStimOnsetToStimOffset[%];PLR_LUND_SD of Trialwise interp fromStimOnsetToStimOffset[%]
subject_0001;13.2531403023206;12.5496387663128;3.87886384019477;-3.40451115477305;26.036749957071
subject_0002;5.99850968703428;5.20110392352931;1.11447071161703;-5.01478423823644;29.0899122438485
subject_0003;5.79625292740047;4.99031884728427;3.75083226381024;-5.29241757156978;30.6105367162307
subject_0004;12.4760485416223;11.7617735460884;3.42577253566771;-4.1957660784239;28.6261882900261
subject_0005;11.5073451139025;10.7536606591442;5.74770163858289;-4.80655924864769;28.188499418852
subject_0006;7.2493080689802;6.4677475879808;2.66333038875228;-4.04306783879179;30.3393342355525
