PLR_LUND_Participant;1.0000000000;2.0000000000;3.0000000000;4.0000000000;5.0000000000;6.0000000000;7.0000000000;8.0000000000;9.0000000000;10.0000000000;11.0000000000;12.0000000000;13.0000000000;14.0000000000;15.0000000000;16.0000000000;17.0000000000;18.0000000000;19.0000000000;20.0000000000;21.0000000000;22.0000000000;23.0000000000;24.0000000000;25.0000000000;26.0000000000;27.0000000000;28.0000000000;29.0000000000;30.0000000000
subject_0001;-2.6304550641;-2.6829090621;-1.5969055982;-3.3259186445;-2.5393026908;-2.5316476762;-2.6104521059;-3.3053491592;-2.2008672508;-2.7411780897;-2.4177291482;-2.7033728441;-2.7180381019;-1.8810661580;-3.0527996165;-2.2987369651;-2.7947168915;-2.7265956245;-2.8464969304;-2.4742342365;-2.7654551188;-2.6139597014;-2.6167338634;-2.5459124719;-1.9761193696;-2.2508031401;-2.9454558523;-2.7357766705;-2.4904822544;-2.4344558136
subject_0002;-2.9236785066;-2.2206086923;-2.6682158454;-2.2429511443;-2.2311220261;-2.7909858290;-2.4507828141;-2.6509815187;-3.0156246656;-1.4748261953;-1.2465760086;-3.0765856773;-1.8704263359;-1.7868605418;-2.7462280980;-2.5833998487;-2.4841044617;-2.7907415410;-2.3270575843;-2.7728882211;-3.1586279321;-2.7904432364;-2.6156125235;-1.7193607837;-2.7323218227;-3.2504336817;-2.0054469463;-2.7867321165;-2.6236398701;-2.8501348235
subject_0003;-3.1003918751;-3.0148655109;-2.3346271621;-2.4880464941;-2.6804338038;-1.9518742284;-2.8980034955;-2.8030337299;-1.9395752617;-3.5755056150;-1.8972210986;-2.7311009368;-2.6343259627;-1.8627210899;-2.6517335358;-3.0801229354;-1.6287214526;-1.8145519492;-2.3384101178;-2.0674458093;-2.5052848633;-2.4021525867;-2.6923121935;-2.6596901270;-2.5995417800;-2.4586214130;-1.8342914588;-2.4769760431;-3.2985836163;-2.8235292942
subject_0004;-3.1848278148;-2.7578939806;-2.5831002241;-2.7578173510;-2.9575336268;-2.5986214792;-3.0940930982;-2.5682621051;-2.6511412694;-2.8547431047;-3.4079732876;-2.4552580880;-2.9046008464;-3.1489397007;-2.4442192459;-2.7754882097;-2.7073205831;-3.2575469617;-1.9160548048;-3.0242227188;-2.2049412867;-2.8132981889;-2.4352825477;-3.0464553633;-2.7715813924;-2.5539852375;-2.6429112424;-2.9278168817;-3.1437200562;-1.6505447937
subject_0005;-2.7781318487;-3.2547927412;-2.3407827467;-2.8463322006;-2.8326730477;-2.6992372611;-2.5556894839;-2.5655014979;-2.4051953140;-3.1189917111;-2.7634679857;-2.1417595356;-2.7367621505;-2.5755309989;-2.6953891894;-2.6394593909;-2.5458265316;-2.6082824175;-2.5934563400;-2.9174526725;-2.8197224501;-2.6924475748;-2.0534984465;-2.4229697660;-2.8347029477;-2.3872844377;-3.3139755030;-2.1333868506;-2.9215370282;-2.5803935174
subject_0006;-2.9828299954;-2.5147893027;-2.6367324773;-3.0960478767;-2.2383151306;-3.0189945251;-1.9469292462;-2.7045991626;-3.1976787699;-2.0884130073;-2.3029803696;-2.5411393004;-2.5383190762;-2.8208638928;-2.7761288695;-3.0103608380;-1.8996817494;-2.5677418018;-3.0583895722;-2.2904015018;-2.8618393915;-2.0299551066;-2.6492970759;-2.5621503244;-2.8163659904;-2.6201822669;-3.0432062862;-1.7512198346;-2.9754039243;-2.9814039719
