PLR_LUND_Participant;PLR_LUND_Filtered-PD
subject_0001;-2.38395306343477
subject_0002;-2.34420685413189
subject_0003;-2.3515234170242
subject_0004;-2.53056469448599
subject_0005;-2.44598774280668
subject_0006;-2.42006553135714
