PLR_LUND_Participant;-500;-475;-450;-425;-400;-375;-350;-325;-300;-275;-250;-225;-200;-175;-150;-125;-100;-75;-50;-25;0;25;50;75;100;125;150;175;200;225;250;275;300;325;350;375;400;425;450;475;500;525;550;575;600;625;650;675;700;725;750;775;800;825;850;875;900;925;950;975;1000;1025;1050;1075;1100;1125;1150;1175;1200;1225;1250;1275;1300;1325;1350;1375;1400;1425;1450;1475;1500;1525;1550;1575;1600;1625;1650;1675;1700;1725;1750;1775;1800;1825;1850;1875;1900;1925;1950;1975;2000;2025;2050;2075;2100;2125;2150;2175;2200;2225;2250;2275;2300;2325;2350;2375;2400;2425;2450;2475;2500;2525;2550;2575;2600;2625;2650;2675;2700;2725;2750;2775;2800;2825;2850;2875;2900;2925;2950;2975;3000;3025;3050;3075;3100;3125;3150;3175;3200;3225;3250;3275;3300;3325;3350;3375;3400;3425;3450;3475;3500;3525;3550;3575;3600;3625;3650;3675;3700;3725;3750;3775;3800;3825;3850;3875;3900;3925;3950;3975;4000;4025;4050;4075;4100;4125;4150;4175;4200;4225;4250;4275;4300;4325;4350;4375;4400;4425;4450;4475;4500;4525;4550;4575;4600;4625;4650;4675;4700;4725;4750;4775;4800;4825;4850;4875;4900;4925;4950;4975;5000;5025;5050;5075;5100;5125;5150;5175;5200;5225;5250;5275;5300;5325;5350;5375;5400;5425;5450;5475;5500;5525;5550;5575;5600;5625;5650;5675;5700;5725;5750;5775;5800;5825;5850;5875;5900;5925;5950;5975;6000;6025;6050;6075;6100;6125;6150;6175;6200;6225;6250;6275;6300;6325;6350;6375;6400;6425;6450;6475;6500;6525;6550;6575;6600;6625;6650;6675;6700;6725;6750;6775;6800;6825;6850;6875;6900;6925;6950;6975;7000;7025;7050;7075;7100;7125;7150;7175;7200;7225;7250;7275;7300;7325;7350;7375;7400;7425;7450;7475;7500;7525;7550;7575;7600;7625;7650;7675;7700;7725;7750;7775;7800;7825;7850;7875;7900;7925;7950;7975;8000;8025;8050;8075;8100;8125;8150;8175;8200;8225;8250;8275;8300;8325;8350;8375;8400;8425;8450;8475;8500;8525;8550;8575;8600;8625;8650;8675;8700;8725;8750;8775;8800;8825;8850;8875;8900;8925;8950;8975;9000;9025;9050;9075;9100;9125;9150;9175;9200;9225;9250;9275;9300;9325;9350;9375;9400;9425;9450;9475;9500;9525;9550;9575;9600;9625;9650;9675;9700;9725;9750;9775;9800;9825;9850;9875;9900;9925;9950;9975;10000;10025;10050;10075;10100;10125;10150;10175;10200;10225;10250
subject_0001;0.00816110178225659;0.00527355899785535;0.00283584469416544;0.00133367565111177;0.000263235179441113;-0.000367749755291428;-0.000515290357060039;-0.000415205746546151;-0.000131003009372795;8.6405111936146e-05;0.000698794492575949;0.00141592058125655;0.00131263753491691;-0.000976794509634985;-0.00551549811840057;-0.0100344640741447;-0.0117763930925146;-0.00816947138822449;0.00116562922597548;0.0153550667997001;0.0318159833752767;0.0468195467250768;0.0570943052054341;0.0584163065871613;0.046650324916746;0.0186278475977188;-0.0279068872797156;-0.0946059900736368;-0.18287055616061;-0.291882508477636;-0.42035861471908;-0.566091408427421;-0.726249480788495;-0.896786756907042;-1.07349574073911;-1.25105462468931;-1.42542376012973;-1.59111751266257;-1.74445193482488;-1.88203234018953;-2.00111005224538;-2.10072094544927;-2.18158379357184;-2.24589345904637;-2.29770482639431;-2.34195988797769;-2.38099266904774;-2.41523809543209;-2.44438971397844;-2.46888973132016;-2.48981741877212;-2.50688634831874;-2.52096173058045;-2.53243710831346;-2.54088579567505;-2.54716590365467;-2.55120305752293;-2.55326342783978;-2.5529376075099;-2.55103518572014;-2.54786451460869;-2.54325929046441;-2.53735717852812;-2.53046867272531;-2.52281086547278;-2.51481825574761;-2.50649994881426;-2.49695396107055;-2.48687168044339;-2.47578586202027;-2.46500158109933;-2.45414262275616;-2.44272213127545;-2.43126743858223;-2.4199480295227;-2.40840253768515;-2.39745054031493;-2.3868219817706;-2.37640298335024;-2.36600916162019;-2.35552472767882;-2.34532693067722;-2.33561940155511;-2.32584913953409;-2.31611124614582;-2.30703127495425;-2.29867091701947;-2.29093234014935;-2.28300668255648;-2.27563658601145;-2.26814783231364;-2.26104287073483;-2.25457305641287;-2.24868644655422;-2.24278489474744;-2.23697315303453;-2.23204559231721;-2.22773982203088;-2.22306204246547;-2.21794353451515;-2.21250098179862;-2.20715467850477;-2.20220731350753;-2.19673190656223;-2.19057397030592;-2.18472443517691;-2.1791288434684;-2.17402132277815;-2.16956582710528;-2.16495655078166;-2.16025760755794;-2.1560508226606;-2.15210831595875;-2.14826345073136;-2.14483851716063;-2.14114307892635;-2.13721944761735;-2.13388411136184;-2.13075162367051;-2.12736694775041;-2.1234356641636;-2.11920443316996;-2.1146409266967;-2.11005850716541;-2.10560167830607;-2.10110246028626;-2.09634560808975;-2.09191032487869;-2.0877293443208;-2.08370857516526;-2.07982306042307;-2.07591007969379;-2.0721253996528;-2.06893005857648;-2.06589290283258;-2.06254086448603;-2.05954146522526;-2.05715528080799;-2.05504082788409;-2.0532485516876;-2.05131638152596;-2.04922221714791;-2.04721274318942;-2.04589736396406;-2.04486960442874;-2.04416166049387;-2.04397435114036;-2.04389125654921;-2.0441136707233;-2.04494722212224;-2.04634365044776;-2.04828938199884;-2.05022958340133;-2.05224077137801;-2.05545687239407;-2.05892791461856;-2.06263761191678;-2.06672594516995;-2.07054895463392;-2.07497244309529;-2.07906972693202;-2.08298991665002;-2.08620915761855;-2.08899382431457;-2.09088111060506;-2.0919817597733;-2.09202256550107;-2.09101882164117;-2.0897812869409;-2.08733009510028;-2.08435410574862;-2.08065177151278;-2.07656309776123;-2.07265174279741;-2.0691149738909;-2.06628632098865;-2.06357634991435;-2.06141535746823;-2.06011803944905;-2.05973656863758;-2.06052014440027;-2.06197602283011;-2.06463777080342;-2.0685834784259;-2.07347110049951;-2.07918839359048;-2.08532849494652;-2.09084218580995;-2.09480337611661;-2.09656668687348;-2.09534880769118;-2.09116070176045;-2.0831302924741;-2.07112599176045;-2.05513861366449;-2.03538778735164;-2.01159391670615;-1.98456214853637;-1.95459547188399;-1.92264423580291;-1.8890914091159;-1.85418243660026;-1.81924629877047;-1.7844094476269;-1.75054915223603;-1.71796943142712;-1.68687732175245;-1.65672684606658;-1.62773609382031;-1.59998903465428;-1.57260015689861;-1.54545870265909;-1.51792485422339;-1.48979423110603;-1.46131119401254;-1.43218787325259;-1.40250189636092;-1.37217330586042;-1.34068739966539;-1.30943479726491;-1.27774081026188;-1.24665156238546;-1.21569725563838;-1.18494073092296;-1.15393200004666;-1.12247326201565;-1.09076652187359;-1.05839462474164;-1.02558194756465;-0.992858717471988;-0.960485495618708;-0.928543642905396;-0.897257096361847;-0.866755488960716;-0.836829656525944;-0.808073291134617;-0.780392385292516;-0.754327578650354;-0.730529253391927;-0.708867868019917;-0.690603812133932;-0.676076075318554;-0.664783377980074;-0.656710915964303;-0.653158825646627;-0.652978578570367;-0.655318456538163;-0.659922614515137;-0.666298490778989;-0.673952790492616;-0.682397707226872;-0.692375307422365;-0.703726947540691;-0.71668465257758;-0.730233395348476;-0.74564110201724;-0.760061728964514;-0.773671791502618;-0.786682527846774;-0.797253948944743;-0.806533398256663;-0.813992490953465;-0.82014433131276;-0.824923640370741;-0.828158640543516;-0.829123950378605;-0.828070749762086;-0.82531931350359;-0.82028129820148;-0.814259007846475;-0.806423138215902;-0.796181225533261;-0.784052483980049;-0.770311747736576;-0.754751882665221;-0.738318841006756;-0.721760334601382;-0.703428991103886;-0.683945815688556;-0.663262192073471;-0.641327664145848;-0.6181670205283;-0.593412318111786;-0.567667755612261;-0.541314022244437;-0.514953560048724;-0.489229921865349;-0.464869306446695;-0.440206881997554;-0.416731956471642;-0.394578927998019;-0.373429360525707;-0.35381437856566;-0.335377271296019;-0.318448776984704;-0.30284320090877;-0.288145040231234;-0.27439606365612;-0.262206484913306;-0.251682566128035;-0.242294822843906;-0.234590603406215;-0.226528270008395;-0.218169592905975;-0.20931125969886;-0.200408760058731;-0.191462301397608;-0.182221807766383;-0.172753722225391;-0.163225754372376;-0.153779372137544;-0.144425864372338;-0.135426016251652;-0.126519781082223;-0.118075272468708;-0.110180222271656;-0.102931535374314;-0.0963439760625247;-0.0902853622145413;-0.0851214803817109;-0.0799557482013981;-0.0754737677754886;-0.0719508296928597;-0.0691735522084656;-0.0667540930076982;-0.0641955647380671;-0.0618850900215865;-0.0597444794309861;-0.0573211455623557;-0.0547991630606029;-0.0525887601494468;-0.0499522743820842;-0.0468575896894757;-0.0435412196324248;-0.0400756202988762;-0.0364658081299706;-0.032407138832908;-0.0282420760198484;-0.0241956607136468;-0.0200351643448454;-0.0162085225165481;-0.0124819029142125;-0.00896998942889235;-0.0057900806212333;-0.00287991746020661;0.000141029729098729;0.00287279808588002;0.0053938384757816;0.00812633324171238;0.0110164180935068;0.0139500691854318;0.0168983922609844;0.0204802701649629;0.0241132222899595;0.0279183571977611;0.0317800219677146;0.0360410468794831;0.040139505078561;0.0440137536031214;0.0475244366989588;0.0508508940867629;0.053764540136456;0.0565937607707752;0.0593099011053836;0.0615305780702558;0.0631942260356219;0.0643424705463739;0.0653008505855572;0.0661446847204801;0.0664350816620367;0.0665385637592078;0.0663924665548049;0.0658299986537371;0.0650642396200614;0.064280002513108;0.0633913899788169;0.0620897741626498;0.0611193922544163;0.0600198400709967;0.0580849303375704;0.0560733031668289;0.054392574183505;0.0530108714732341;0.0519836232211734;0.0514985745515651;0.0511223943942519;0.0512069960166555;0.0515787579474057;0.0521632068571685;0.0523945758867394;0.0523819567158965;0.052153475859284;0.0518572676378439;0.0511226940134819;0.0498692609453018;0.0481634658175722;0.0455935368406749;0.0422427789596933;0.0379248929696829;0.0330401781019735;0.0272711186748059;0.0207038461495726;0.0135614304845403;0.00598634556253213;-0.00194226859928945;-0.00967614668155976;-0.0170648242990753;-0.023984380455121;-0.0302965913188154;-0.0356846576525904;-0.0408529914167006;-0.0461990474539155;-0.0500398907815814;-0.052999985134487;-0.0553909538864364;-0.0568150922690183;-0.057716843704408;-0.0580515646999487;-0.0578500328954471;-0.0572726625252452;-0.0565319858079661;-0.0558610222384241;-0.05479071886396;-0.053574381004027;-0.0531842382034905;-0.0550057842655176;-0.0590322113647672;-0.0630307642145306;-0.0643272019554603;-0.0604409702275138;-0.0510651380484977
subject_0002;0.0297396406808167;0.0285237983119574;0.0274185003479244;0.0262822908770341;0.0248338196245033;0.0230029756104111;0.0209087487898416;0.0190848919775571;0.0167916762529717;0.0139529954641391;0.0103052707099125;0.00584987885912208;-0.000213389802409628;-0.00906199820862314;-0.0203289275512288;-0.031906909314106;-0.0413233074429872;-0.0471817468917721;-0.0489925047639861;-0.047685703531079;-0.0453345003408133;-0.0440751694528969;-0.0466779741689544;-0.0565551581480992;-0.0758930511767664;-0.107627430630723;-0.153101592942815;-0.213852376617511;-0.290071725795155;-0.381968259512117;-0.488652523201765;-0.608492418249927;-0.739080800941668;-0.878147961235431;-1.02228045043476;-1.16800142850753;-1.31173193864476;-1.44954325216612;-1.57815944320839;-1.69484151977177;-1.79797084700801;-1.88640980776152;-1.96068636239849;-2.02242403955334;-2.07571098661414;-2.12306086502672;-2.16510762385221;-2.20259918159906;-2.23577374732898;-2.26475038393152;-2.2905315729646;-2.3130754657654;-2.33251496403267;-2.34912264497384;-2.36351713024153;-2.37625485410571;-2.38745413879744;-2.39771572374081;-2.40609700602149;-2.41342493235223;-2.41931590882552;-2.42420870236872;-2.42798731196681;-2.43085939760559;-2.43305619341596;-2.43484933628895;-2.43590763911003;-2.43686990680305;-2.43750615810191;-2.43778965701684;-2.43794677218225;-2.43803958683055;-2.43785628052187;-2.43774636037618;-2.43787577084372;-2.43785778540409;-2.43800764946951;-2.43736863980667;-2.43637358910876;-2.43530788978831;-2.433888258393;-2.43243155219873;-2.43109958541641;-2.42882942828637;-2.42565668365594;-2.42132513653181;-2.41654783788132;-2.41107902725264;-2.40496726364598;-2.39805271868467;-2.39016611457212;-2.38175170626385;-2.37224948992058;-2.36199198970363;-2.35091224527552;-2.33947474301938;-2.32767857126463;-2.31581018802127;-2.30424850782939;-2.29332773775891;-2.28304351874947;-2.27347218866309;-2.26462024464149;-2.25704191477892;-2.25038457117274;-2.24519026122549;-2.24127119250652;-2.23786073362622;-2.23482220347712;-2.23213652788029;-2.22953210394468;-2.2267679345125;-2.22358387378112;-2.22030191063956;-2.21628800579875;-2.21121072338191;-2.20525676012164;-2.19861736171403;-2.19165799234739;-2.18380535713666;-2.17618610258992;-2.16847090789691;-2.16136042543747;-2.154407019455;-2.148079787465;-2.142432479791;-2.1372537957862;-2.13277914735418;-2.12878113896469;-2.12526305037944;-2.12205143457636;-2.11857379275279;-2.11464831614016;-2.1100618560398;-2.10482412680193;-2.09905719398092;-2.09286232003106;-2.08649773820343;-2.07949924594673;-2.07182927201948;-2.064141658251;-2.05670206575264;-2.04978057834094;-2.04344177377135;-2.0379227884589;-2.03322163247129;-2.02884194841133;-2.02535090159462;-2.02296210201115;-2.02147559440461;-2.02045843685351;-2.02003431727669;-2.02041169110648;-2.02099030434247;-2.02223573059905;-2.0238567715533;-2.02567823309896;-2.02731244897646;-2.02909238859515;-2.03094324449501;-2.03242265695028;-2.03387031955616;-2.03505130932783;-2.03556858327689;-2.03532951035633;-2.03461521157528;-2.03323966424495;-2.03161729020065;-2.02990533325348;-2.02776529149416;-2.0256036016046;-2.02337065381576;-2.02127168756104;-2.01928419360812;-2.01820390673337;-2.01738726536668;-2.01704184272593;-2.01673923066888;-2.01684214323349;-2.01765185909373;-2.01905342149589;-2.02076219798285;-2.02328508015121;-2.02645630843089;-2.03033832040825;-2.03456881600344;-2.03890288055732;-2.04292664118192;-2.04599005718338;-2.04743930265525;-2.04675962157262;-2.04287462633218;-2.03541660265276;-2.02383203582477;-2.00763288555545;-1.98653209232974;-1.95949608290954;-1.92716839695101;-1.88964923460515;-1.84879615517751;-1.80560254257932;-1.76120926799778;-1.71770235037734;-1.67702851765848;-1.64006165513933;-1.60695314438863;-1.57929095463822;-1.55619620691243;-1.53791033006965;-1.52375085100152;-1.51316471891594;-1.50436282380213;-1.49540811071995;-1.48753446654309;-1.47828403862546;-1.46630828320337;-1.45087207076315;-1.42919963598316;-1.40149850829433;-1.36860652467309;-1.33130392815699;-1.29020154545951;-1.24616131859416;-1.20015140287914;-1.15286798375786;-1.1061907132828;-1.06208500346492;-1.02028840071196;-0.980776847107707;-0.943563221320324;-0.908618895473882;-0.876542935246461;-0.846163252249376;-0.818148619691773;-0.794947550312085;-0.775784908502119;-0.759441711703685;-0.746252912625496;-0.735543667524272;-0.727494228128862;-0.721379483102327;-0.715898637130844;-0.710515218926945;-0.704507617164594;-0.699578424221901;-0.696050086899219;-0.69193663747342;-0.687869374931735;-0.682343530881388;-0.674439845335672;-0.665181826185365;-0.655038277539035;-0.644421708714244;-0.632804509656367;-0.619939048927335;-0.606030619265857;-0.591531828788367;-0.5777949141075;-0.565010810435198;-0.553304164033949;-0.542191150084559;-0.531389544581754;-0.521023769956935;-0.510544115420753;-0.499279063669014;-0.488216913809619;-0.477925708580694;-0.467233159063756;-0.457109876132132;-0.447978159007672;-0.439280269048099;-0.4321578977678;-0.424848309272686;-0.417978142632918;-0.410730054995331;-0.403791952066061;-0.397280450529599;-0.390291534877423;-0.38307094720632;-0.37536405197213;-0.367330902668785;-0.35863146269274;-0.349324516111705;-0.33919066502678;-0.328671260198981;-0.317771284672743;-0.306296468085227;-0.2945368486742;-0.282430891826588;-0.269897656438189;-0.25783823643597;-0.246343836815438;-0.235530498082715;-0.225573645267417;-0.217012910785795;-0.209353702094756;-0.202485726499991;-0.196291986666551;-0.190655013886049;-0.185571255010669;-0.181455079794636;-0.177584738187654;-0.173795861796584;-0.170437680053107;-0.167140215708906;-0.163791783797642;-0.160107704315193;-0.156144195722761;-0.151957772294007;-0.147228935874411;-0.142328609151816;-0.137216295809502;-0.132388997165855;-0.127575549907418;-0.122724067254878;-0.118191112075844;-0.114338057739443;-0.110815741877759;-0.10804022924065;-0.105886980817393;-0.103846661768978;-0.102334345503453;-0.101782991793495;-0.101993972960914;-0.103032321809208;-0.104798551645527;-0.107578935972587;-0.110856014069196;-0.114424724110752;-0.11841200703684;-0.122077122097026;-0.125714618424739;-0.128945357073568;-0.131267352682523;-0.132831617503086;-0.133137524500422;-0.131502325520708;-0.12818234490754;-0.123250206525798;-0.11669521361423;-0.108856342242827;-0.0996631404612498;-0.0898524355087794;-0.0794259178895154;-0.0689561147998354;-0.0588346557931733;-0.0492882710444039;-0.0409242934001908;-0.0334001664641889;-0.0271933106783111;-0.0226753326379679;-0.018857518814819;-0.0158219219962103;-0.0135799455225166;-0.0115132834895679;-0.00936867728934754;-0.00662497762240822;-0.00338051350428121;0.000761229058004664;0.00622168505080888;0.012845279877238;0.0203662894976733;0.0288796982036832;0.0379087269792804;0.0471343952266179;0.0563615927618108;0.0655268383691847;0.074612554918773;0.0832061319663696;0.0906907003555859;0.0968259835128129;0.101229552929687;0.103516375780045;0.103963978812021;0.102483239758388;0.0990571484210308;0.0937195654943424;0.0868805556790991;0.0785623593901705;0.0690559075634364;0.0588395245980757;0.0478685950991561;0.0365922571638053;0.0253115415416371;0.0140775116385828;0.00314519536681953;-0.00722614461482848;-0.0167219977202591;-0.0252012953945688;-0.0327051349532686;-0.0388293565853288;-0.0437876122564093;-0.0477786236257625;-0.0507669205942509;-0.0528466118772818;-0.0544727716694669;-0.0556405339246542;-0.0561758143167371;-0.056181203471524;-0.0556392185326123;-0.0549975347881163;-0.0541827245676754;-0.0531952806906359;-0.0523689489060029;-0.0514262742732288;-0.0502875433560013;-0.049304177083864;-0.0486862059738827;-0.0477660359526634;-0.0468497504910352;-0.0460469961083994;-0.0453561755661872;-0.0444347531747613;-0.043483862454741;-0.0425062967759114;-0.041872086573069;-0.0415877450044069;-0.0418048305289466;-0.0424964603825953;-0.0432801896109117;-0.0448006161809121;-0.0469999800776328;-0.0503519202457432;-0.0545764298152545;-0.0606984691771604;-0.0696699886888071;-0.0811328599707644;-0.0930051340989441;-0.102803378421649;-0.109111910276617;-0.111618287813795
subject_0003;0.0134635157233281;0.0115182052837388;0.0095588851508874;0.00773014594597742;0.00634687783252872;0.00498142942288264;0.00392411239922241;0.00343064261442511;0.00307453250303595;0.00281919089228161;0.00256356740193304;0.0017665643568801;-0.000546260870073597;-0.00512326944121104;-0.0110839999521583;-0.0159481188444408;-0.0179987925142776;-0.0152158092046232;-0.00780803999073898;0.00254662129040343;0.013543090737114;0.0219454144311007;0.024312555342299;0.0173455540186969;-0.0019734273610968;-0.0366971498097485;-0.0882180633238355;-0.157997777566164;-0.246738608010384;-0.353499878039838;-0.476913484327539;-0.614347299514543;-0.762662164470328;-0.918106222932263;-1.07708308547449;-1.23476681493344;-1.38697803384334;-1.52995531556637;-1.66010753044518;-1.77506821182808;-1.873203492878;-1.9538518730895;-2.01863338175918;-2.07081469734885;-2.11406167558587;-2.15175087462004;-2.18541282890747;-2.2152324496211;-2.24171307913781;-2.26468323349255;-2.2855333030597;-2.30433547272012;-2.32102503783007;-2.33574486016925;-2.34862340478834;-2.35979084545104;-2.3700531974509;-2.37900747096534;-2.38664620000148;-2.39367344817986;-2.40004273791534;-2.40559481816676;-2.41056085983382;-2.41562657081968;-2.42059760390472;-2.42489385866621;-2.42854324049883;-2.43133745360086;-2.43385456015314;-2.43618735483317;-2.43817663831223;-2.43988963270558;-2.44102232438566;-2.44109768982664;-2.44073434776937;-2.43977823744126;-2.43828415129493;-2.43657953211241;-2.43422892522328;-2.43159147615766;-2.42865146931612;-2.42610185435247;-2.42347285856789;-2.42056750147405;-2.41796828734022;-2.41499866266796;-2.41141024579478;-2.40800546727166;-2.40480267913084;-2.40153917748562;-2.39843324894953;-2.39561674862036;-2.39261081573223;-2.38944861687103;-2.38686945232682;-2.3848485732668;-2.38276907243805;-2.38004767149043;-2.37685491804201;-2.3745213722334;-2.37184979494742;-2.36919884029194;-2.36642940883899;-2.363496288698;-2.36003855093222;-2.35660078505995;-2.35285114231117;-2.3495108344552;-2.34577563417441;-2.34135455619519;-2.33655619500532;-2.332044056107;-2.32771139043683;-2.32304714824796;-2.31793555335039;-2.31392860041328;-2.31004282411998;-2.30573239033994;-2.30131047932087;-2.29696635818544;-2.29242189994661;-2.28780245288276;-2.28298107022368;-2.27800256861448;-2.27284490419464;-2.26774716754979;-2.26284257677218;-2.25842789038251;-2.25381906457969;-2.24929805573725;-2.24503105451159;-2.24157608116166;-2.23757339035917;-2.23406873648826;-2.23099863334448;-2.22779589305615;-2.22520207639374;-2.22313164270474;-2.22140380092602;-2.22027379110262;-2.21865385534252;-2.21676292065898;-2.21477629935358;-2.21290192078648;-2.21081037412032;-2.20805969145474;-2.20522601384243;-2.20285079799321;-2.19971977196017;-2.19670700386502;-2.19407785008914;-2.19136606756882;-2.18911464908847;-2.18690069886341;-2.18429084780764;-2.18207088579822;-2.18044889910297;-2.17828950192482;-2.1768359928843;-2.17581889816508;-2.17496579597089;-2.17387941093153;-2.17320902882094;-2.1725092690398;-2.17167798214803;-2.17138515751669;-2.17104883915971;-2.17075049005228;-2.17075276486994;-2.17102927902568;-2.17135373633707;-2.17171374368933;-2.17226985488484;-2.17306187696197;-2.17373698917105;-2.17502950165632;-2.17643247064934;-2.17787120653901;-2.17968678692168;-2.18210265788818;-2.18470795698344;-2.18774627442601;-2.19108840663777;-2.19498146960209;-2.19938870250847;-2.20333958667487;-2.20714564494312;-2.21030701390135;-2.21169330544631;-2.21076938678611;-2.20779160499481;-2.20167175848182;-2.19108486936797;-2.17525798597458;-2.15405215857137;-2.12672311810297;-2.09423742903657;-2.05665737620989;-2.01455029954888;-1.96841755362339;-1.91963133056309;-1.86994495707755;-1.81896734133513;-1.76666325955002;-1.71515348196158;-1.66368688230996;-1.61456865011127;-1.56845192079123;-1.52583083475268;-1.48663817859395;-1.45178277605564;-1.42079445926705;-1.39121925155954;-1.36315618163362;-1.33691076804725;-1.31170687620511;-1.28592088466283;-1.26112731330781;-1.23744708194163;-1.21417502474012;-1.19134976900255;-1.16892274550746;-1.14743484720785;-1.1266214028808;-1.10570036384528;-1.08479248045189;-1.06393714855552;-1.04243526220432;-1.01980867194639;-0.996010450135307;-0.971899061156015;-0.948396276298457;-0.925419269901084;-0.903246395132659;-0.879679631219855;-0.856146190231038;-0.832572368340574;-0.809295434837363;-0.787168928044047;-0.766310057163679;-0.746821763930297;-0.729855077387734;-0.71726987828408;-0.707100780842931;-0.698237287815138;-0.691431658517976;-0.685096109776347;-0.678895784659881;-0.673514130947153;-0.668806398344224;-0.664498213667323;-0.660929598198943;-0.657506147609633;-0.654397469988079;-0.65189616295592;-0.649388143206315;-0.648097146168006;-0.648540228840268;-0.650310978111713;-0.652125543963707;-0.653967294287373;-0.655848039744596;-0.658124954723228;-0.660426372511492;-0.661323314307867;-0.66108467268584;-0.659756943105318;-0.65755629378512;-0.654193889502572;-0.64926906821327;-0.642741479324895;-0.634884690945691;-0.625770795321266;-0.617209561942199;-0.609344136697912;-0.601425726171196;-0.594048473377916;-0.586296872805402;-0.578020905883949;-0.57017893649161;-0.562130323254788;-0.553425511029672;-0.544972092289253;-0.536820853718417;-0.528238534443401;-0.519220580756609;-0.510225267218157;-0.500792243347797;-0.492382923692167;-0.484508078151575;-0.477266543145177;-0.470487533517469;-0.464371982979532;-0.458762979855959;-0.454181033005041;-0.450463403411121;-0.447014749709029;-0.444121772379619;-0.441415284836672;-0.438919700414948;-0.436394582244721;-0.433369656999272;-0.429877027825986;-0.425852130148358;-0.421219988883491;-0.4160433836697;-0.409818856848676;-0.402884619279805;-0.395446133163917;-0.386902398914227;-0.377062051115997;-0.365801926071312;-0.353536990663223;-0.340276604176996;-0.326394559942933;-0.311864017723051;-0.297032821472036;-0.282012748406221;-0.267255642605283;-0.253170744185306;-0.24027902648681;-0.22888348189113;-0.218651445710561;-0.209413386711575;-0.201551223297493;-0.195400585836989;-0.191148936747853;-0.18803727915784;-0.186071527326833;-0.18486432988398;-0.184458304096457;-0.184911672284652;-0.186026312055972;-0.187001149907851;-0.187859798846647;-0.188061352576715;-0.187727798390628;-0.186848399199696;-0.18517888144871;-0.183010357398488;-0.180038938334788;-0.176322349965105;-0.172031835525653;-0.167054108532992;-0.161551519061254;-0.155519661544136;-0.149044207634566;-0.141864663351264;-0.134102396583184;-0.125835982731851;-0.117287843222219;-0.109176454332451;-0.101309885435201;-0.0937915520343416;-0.0865361552670076;-0.0797177502950556;-0.0737148070035278;-0.0683064996672556;-0.0632446046540815;-0.0583746205212676;-0.0540735733824174;-0.0499554832385086;-0.0465716835550703;-0.0438201184989759;-0.0415391341815032;-0.039170979239615;-0.036842244841972;-0.0345907082558743;-0.0323612700129748;-0.0303484941140579;-0.0279662683119197;-0.0256107146046306;-0.0232181867373291;-0.0209730455095368;-0.0189925627273883;-0.0172373219019846;-0.0159082949343238;-0.0147218266161852;-0.0139377306561071;-0.013141609203867;-0.0125203291226383;-0.0122989729333769;-0.0123900276272282;-0.013197602873341;-0.0140433619980108;-0.0155458192280225;-0.0176610414311547;-0.0201893001828052;-0.0229875480789811;-0.026138367984039;-0.029619004057444;-0.0333077246396956;-0.0370488389349316;-0.0405747045012297;-0.0440260637203287;-0.0472488099247809;-0.0503039643662512;-0.0530572096854061;-0.0555436406052521;-0.0573788655327219;-0.0585652766640465;-0.0596182206817395;-0.0605222338655801;-0.0614264522099001;-0.0620075987337933;-0.062492277238047;-0.0633913660638012;-0.0643591764217824;-0.0656831786822496;-0.0671468117748953;-0.0690012246858636;-0.0706835296757288;-0.0725973634515811;-0.0746084790989469;-0.0765446089530715;-0.0784163753167081;-0.0797931995468616;-0.0811975202172765;-0.0824445587449998;-0.0832182373102723;-0.0839190687995978;-0.0847192524331218;-0.0855499096007968;-0.0869343125394895;-0.0897393694334734;-0.094769699882504;-0.100867951170091;-0.105964313204488;-0.108251571866616;-0.105861242981352;-0.0990126062968686
